,一共游戏场数,10551
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,龙之舞	破坏光线	万灵药,500,74.52%,43
,,龙之舞	破坏光线	逃脱按键,380,78.51%,15
,,龙之舞	破坏光线	攻击强化,260,74.93%,30
,,龙之舞	破坏光线	得分加速装置,55,82.09%,1
,,龙之舞	破坏光线	迟缓烟雾,2,100.0%,1
,,龙之舞	破坏光线	速度强化,1,100.0%,1
,,龙之舞	逆鳞		逃脱按键,0,0.0%,1
,,龙之舞	逆鳞		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	锐利之爪,598,79.21%,34
,,气势头带	力量头带	焦点镜,198,74.16%,14
,,猛攻哑铃	气势头带	力量头带,73,76.04%,7
,,救援屏障	气势头带	力量头带,58,70.73%,6
,,力量头带	锐利之爪	焦点镜,61,71.76%,5
,,能量增幅器	力量头带	贝壳之铃,27,65.85%,2
,,得分护盾	气势头带	力量头带,82,75.23%,1
,,力量头带	锐利之爪	弱点保险,44,73.33%,1
,,气势头带	力量头带	弱点保险,5,62.5%,1
,,猛攻哑铃	气势头带	弱点保险,1,100.0%,1
,,猛攻哑铃	力量头带	焦点镜,0,0.0%,1
3,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,96,12.36%,1011,77.53%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,퍼밍,147,76.56%
,,PotatoUwU,60,84.51%
,,"BTW_Deku,",46,80.7%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,491,78.94%,60
,,帮助		神秘守护	速度强化,226,74.34%,29
,,炸蛋		神秘守护	速度强化,162,77.51%,34
,,炸蛋		生蛋		伤药	,86,79.63%,9
,,帮助		神秘守护	伤药	,15,83.33%,3
,,帮助		生蛋		速度强化,14,93.33%,4
,,炸蛋		生蛋		逃脱按键,9,60.0%,3
,,帮助		神秘守护	向尾喵的尾巴,2,100.0%,1
,,帮助		生蛋		伤药	,2,66.67%,1
,,帮助		神秘守护	逃脱按键,2,40.0%,4
,,炸蛋		生蛋		迟缓烟雾,1,100.0%,1
,,炸蛋		神秘守护	逃脱按键,1,100.0%,1
,,炸蛋		生蛋		向尾喵的尾巴,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	进击眼镜	气势头带,136,74.73%,16
,,救援屏障	学习装置	气势头带,82,72.57%,16
,,救援屏障	得分护盾	气势头带,108,74.48%,15
,,讲究眼镜	救援屏障	气势头带,122,78.21%,12
,,能量增幅器	救援屏障	气势头带,57,87.69%,8
,,讲究眼镜	学习装置	气势头带,199,79.28%,4
,,能量增幅器	进击眼镜	贝壳之铃,60,83.33%,2
,,讲究眼镜	能量增幅器	救援屏障,19,79.17%,2
,,能量增幅器	进击眼镜	气势头带,6,100.0%,2
,,救援屏障	得分护盾	学习装置,2,66.67%,2
,,讲究眼镜	救援屏障	进击眼镜,31,75.61%,1
,,救援屏障	进击眼镜	学习装置,15,83.33%,1
,,救援屏障	进击眼镜	博识眼镜,14,73.68%,1
,,亿奥斯饼干	进击眼镜	气势头带,11,84.62%,1
,,救援屏障	气势头带	博识眼镜,11,84.62%,1
,,进击眼镜	学习装置	气势头带,5,83.33%,1
,,学习装置	气势头带	博识眼镜,3,75.0%,1
,,能量增幅器	气势头带	贝壳之铃,3,75.0%,1
,,得分护盾	进击眼镜	气势头带,3,60.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,1,100.0%,1
,,学习装置	气势头带	凸凸头盔,1,50.0%,1
,,能量增幅器	救援屏障	学习装置,0,0.0%,1
4,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,84,10.62%,843,75.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,nayeon,103,70.55%
,,너도내꺼,68,80.0%
,,iamJPN,48,94.12%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,踩踏		热带踢	攻击强化,280,83.58%,22
,,踩踏		热带踢	速度强化,198,69.23%,25
,,踩踏		热带踢	万灵药,143,74.09%,10
,,踩踏		青草滑梯	速度强化,123,69.89%,22
,,踩踏		青草滑梯	万灵药,44,72.13%,6
,,三旋击	青草滑梯	万灵药,19,82.61%,1
,,踩踏		热带踢	伤药	,18,81.82%,2
,,踩踏		热带踢	逃脱按键,6,100.0%,5
,,三旋击	青草滑梯	速度强化,5,83.33%,4
,,踩踏		青草滑梯	攻击强化,4,80.0%,4
,,三旋击	热带踢	逃脱按键,1,100.0%,1
,,踩踏		青草滑梯	逃脱按键,1,100.0%,1
,,三旋击	青草滑梯	攻击强化,1,100.0%,1
,,踩踏		青草滑梯	伤药	,0,0.0%,2
,,三旋击	青草滑梯	逃脱按键,0,0.0%,1
,,三旋击	热带踢	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,655,76.43%,46
,,亿奥斯饼干	猛攻哑铃	弱点保险,87,71.31%,11
,,猛攻哑铃	力量头带	弱点保险,25,65.79%,6
,,猛攻哑铃	力量头带	锐利之爪,9,90.0%,2
,,猛攻哑铃	锐利之爪	弱点保险,7,70.0%,2
,,猛攻哑铃	气势头带	锐利之爪,3,100.0%,2
,,气势头带	锐利之爪	弱点保险,2,66.67%,2
,,能量增幅器	猛攻哑铃	弱点保险,22,78.57%,1
,,能量增幅器	猛攻哑铃	气势头带,2,50.0%,1
,,猛攻哑铃	焦点镜	弱点保险,1,100.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,1,33.33%,1
,,气势头带	锐利之爪	焦点镜,1,25.0%,1
5,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,82,10.36%,830,75.94%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,XIS・Mazo,118,81.94%
,,SirWaddleChu,99,70.21%
,,Suixㅤ,84,94.38%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜水		空气斩	逃脱按键,689,77.5%,66
,,冲浪		暴风		逃脱按键,53,77.94%,15
,,冲浪		空气斩	逃脱按键,51,77.27%,12
,,潜水		空气斩	伤药	,15,42.86%,13
,,潜水		空气斩	万灵药,7,87.5%,3
,,潜水		空气斩	攻击强化,7,53.85%,6
,,冲浪		空气斩	攻击强化,5,62.5%,1
,,冲浪		空气斩	伤药	,2,50.0%,3
,,潜水		暴风		逃脱按键,1,100.0%,1
,,冲浪		暴风		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,119,74.84%,15
,,能量增幅器	救援屏障	贝壳之铃,62,72.94%,9
,,讲究眼镜	救援屏障	气势头带,143,69.76%,7
,,亿奥斯饼干	进击眼镜	气势头带,62,72.09%,7
,,能量增幅器	进击眼镜	气势头带,135,80.84%,5
,,能量增幅器	气势头带	贝壳之铃,52,72.22%,5
,,讲究眼镜	进击眼镜	气势头带,4,66.67%,4
,,讲究眼镜	能量增幅器	气势头带,15,75.0%,3
,,讲究眼镜	救援屏障	博识眼镜,15,60.0%,3
,,能量增幅器	救援屏障	气势头带,70,81.4%,2
,,能量增幅器	亿奥斯饼干	贝壳之铃,17,80.95%,2
,,讲究眼镜	能量增幅器	救援屏障,11,84.62%,2
,,能量增幅器	锐利之爪	贝壳之铃,7,87.5%,2
,,能量增幅器	进击眼镜	贝壳之铃,3,42.86%,2
,,讲究眼镜	能量增幅器	贝壳之铃,1,50.0%,2
,,讲究眼镜	气势头带	锐利之爪,5,100.0%,1
,,讲究眼镜	气势头带	贝壳之铃,3,60.0%,1
,,能量增幅器	贝壳之铃	博识眼镜,3,60.0%,1
,,救援屏障	气势头带	贝壳之铃,1,50.0%,1
6,胡帕,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,60,9.81%,807,77.97%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,이테,104,75.91%
,,iamJAP,71,97.26%
,,Ghost?ㅤ,58,77.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜灵奇袭	异次元洞	速度强化,328,74.21%,28
,,潜灵奇袭	异次元洞	逃脱按键,124,81.05%,10
,,异次元猛攻	幻象光线	速度强化,111,89.52%,26
,,暗影球	异次元洞	速度强化,100,74.07%,9
,,异次元猛攻	幻象光线	逃脱按键,30,88.24%,5
,,暗影球	异次元洞	伤药	,27,87.1%,1
,,暗影球	异次元洞	攻击强化,19,90.48%,6
,,潜灵奇袭	异次元洞	攻击强化,17,68.0%,9
,,暗影球	异次元洞	逃脱按键,15,78.95%,3
,,潜灵奇袭	异次元洞	伤药	,14,70.0%,4
,,异次元猛攻	幻象光线	攻击强化,11,73.33%,10
,,异次元猛攻	幻象光线	伤药	,9,64.29%,3
,,暗影球	戏法		逃脱按键,1,100.0%,1
,,暗影球	戏法		伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	力量头带,464,79.05%,24
,,救援屏障	气势头带	力量头带,148,78.31%,11
,,救援屏障	学习装置	气势头带,113,75.84%,5
,,救援屏障	学习装置	力量头带,23,71.88%,4
,,讲究眼镜	气势头带	力量头带,8,80.0%,2
,,能量增幅器	气势头带	贝壳之铃,3,100.0%,2
,,讲究眼镜	学习装置	气势头带,3,100.0%,2
,,能量增幅器	救援屏障	力量头带,0,0.0%,2
,,能量增幅器	救援屏障	贝壳之铃,22,84.62%,1
,,能量增幅器	救援屏障	气势头带,5,71.43%,1
,,能量增幅器	学习装置	贝壳之铃,4,100.0%,1
,,气势头带	力量头带	焦点镜,1,100.0%,1
,,气势头带	力量头带	博识眼镜,1,33.33%,1
,,讲究眼镜	能量增幅器	力量头带,0,0.0%,1
7,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,9.48%,717,71.7%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,99ム任义伟,78,66.1%
,,OMOメPhoenix,62,79.49%
,,STMN・Froy,49,75.38%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰砾		速度强化,405,72.58%,46
,,冰砾		逃脱按键,102,76.69%,13
,,冰锥		冰砾		速度强化,81,69.83%,11
,,冰锥		冰砾		逃脱按键,71,66.36%,6
,,冰砾		攻击强化,22,70.97%,7
,,冰锥		冷冻干燥	速度强化,21,67.74%,2
,,冰砾		万灵药,4,100.0%,2
,,速度强化,3,50.0%,4
,,冰冻之风	速度强化,2,100.0%,2
,,冰锥		冰砾		向尾喵的尾巴,2,100.0%,2
,,冰冻之风	逃脱按键,1,100.0%,1
,,冰冻之风	冰砾		向尾喵的尾巴,1,100.0%,1
,,冰冻之风	冷冻干燥	速度强化,1,100.0%,1
,,冰冻之风	冷冻干燥	逃脱按键,1,100.0%,1
,,冰冻之风	冰砾		速度强化,0,0.0%,4
,,逃脱按键,0,0.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,95,76.61%,7
,,能量增幅器	救援屏障	力量头带,51,79.69%,6
,,能量增幅器	气势头带	力量头带,9,60.0%,4
,,气势头带	力量头带	焦点镜,13,72.22%,3
,,讲究眼镜	进击眼镜	博识眼镜,10,58.82%,3
,,进击眼镜	力量头带	焦点镜,7,77.78%,3
,,讲究眼镜	能量增幅器	救援屏障,140,71.43%,2
,,能量增幅器	气势头带	博识眼镜,63,78.75%,2
,,救援屏障	力量头带	博识眼镜,36,72.0%,2
,,气势头带	力量头带	博识眼镜,18,75.0%,2
,,气势头带	力量头带	贝壳之铃,8,72.73%,2
,,救援屏障	进击眼镜	力量头带,5,71.43%,2
,,气势头带	贝壳之铃	博识眼镜,45,78.95%,1
,,能量增幅器	进击眼镜	力量头带,39,70.91%,1
,,讲究眼镜	能量增幅器	贝壳之铃,29,55.77%,1
,,救援屏障	气势头带	力量头带,17,80.95%,1
,,能量增幅器	救援屏障	博识眼镜,16,72.73%,1
,,讲究眼镜	救援屏障	力量头带,11,55.0%,1
,,讲究眼镜	气势头带	贝壳之铃,8,66.67%,1
,,能量增幅器	力量头带	博识眼镜,7,46.67%,1
,,进击眼镜	气势头带	力量头带,5,83.33%,1
,,讲究眼镜	救援屏障	博识眼镜,5,83.33%,1
,,能量增幅器	力量头带	焦点镜,4,80.0%,1
,,讲究眼镜	气势头带	力量头带,3,60.0%,1
,,讲究眼镜	进击眼镜	力量头带,3,60.0%,1
,,讲究眼镜	力量头带	焦点镜,2,100.0%,1
,,能量增幅器	进击眼镜	气势头带,2,66.67%,1
,,讲究眼镜	救援屏障	气势头带,2,50.0%,1
,,讲究眼镜	焦点镜	博识眼镜,2,40.0%,1
,,讲究眼镜	能量增幅器	进击眼镜,1,100.0%,1
,,进击眼镜	贝壳之铃	博识眼镜,1,100.0%,1
,,讲究眼镜	力量头带	博识眼镜,1,50.0%,1
,,能量增幅器	救援屏障	气势头带,1,25.0%,1
,,讲究眼镜	能量增幅器	气势头带,0,0.0%,1
8,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,67,7.15%,505,66.98%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MugiwarcTTV,60,71.43%
,,-月光闇-,53,86.89%
,,Trafyyy,49,61.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		烟幕		攻击强化,268,65.37%,42
,,冲浪		烟幕		逃脱按键,112,65.88%,15
,,飞水手里剑	影子分身	伤药	,56,70.89%,2
,,冲浪		烟幕		万灵药,51,70.83%,9
,,飞水手里剑	影子分身	攻击强化,5,100.0%,3
,,冲浪		影子分身	攻击强化,3,100.0%,3
,,飞水手里剑	影子分身	逃脱按键,3,50.0%,3
,,飞水手里剑	烟幕		逃脱按键,2,66.67%,2
,,飞水手里剑	烟幕		伤药	,1,100.0%,1
,,冲浪		影子分身	伤药	,1,100.0%,1
,,飞水手里剑	烟幕		攻击强化,1,100.0%,1
,,冲浪		烟幕		伤药	,1,100.0%,1
,,飞水手里剑	影子分身	万灵药,1,100.0%,1
,,飞水手里剑	影子分身	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,378,67.62%,37
,,救援屏障	力量头带	焦点镜,27,71.05%,8
,,猛攻哑铃	力量头带	锐利之爪,11,64.71%,4
,,气势头带	力量头带	焦点镜,8,47.06%,3
,,能量增幅器	力量头带	焦点镜,6,50.0%,3
,,猛攻哑铃	气势头带	力量头带,4,66.67%,2
,,救援屏障	猛攻哑铃	力量头带,1,50.0%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,60,71.43%,1
,,力量头带	焦点镜	弱点保险,3,75.0%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,1,100.0%,1
9,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,81,6.98%,543,73.78%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,DanielMil,47,73.44%
,,みやゆー,37,63.79%
,,TtvPikaGod22,34,75.56%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,近身战	爆裂拳	逃脱按键,254,71.55%,49
,,十字劈	爆裂拳	逃脱按键,232,77.33%,40
,,近身战	爆裂拳	攻击强化,18,78.26%,4
,,十字劈	爆裂拳	速度强化,16,80.0%,3
,,十字劈	爆裂拳	攻击强化,11,57.89%,8
,,近身战	爆裂拳	速度强化,10,66.67%,4
,,十字劈	爆裂拳	万灵药,1,100.0%,1
,,近身战	地狱翻滚	逃脱按键,1,100.0%,1
,,十字劈	地狱翻滚	逃脱按键,0,0.0%,1
,,十字劈	地狱翻滚	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	焦点镜,115,74.19%,16
,,猛攻哑铃	气势头带	力量头带,91,82.73%,16
,,猛攻哑铃	气势头带	锐利之爪,82,70.69%,13
,,猛攻哑铃	力量头带	焦点镜,23,67.65%,5
,,猛攻哑铃	气势头带	焦点镜,9,56.25%,5
,,猛攻哑铃	气势头带	弱点保险,14,77.78%,3
,,猛攻哑铃	锐利之爪	弱点保险,48,73.85%,2
,,能量增幅器	猛攻哑铃	气势头带,37,62.71%,2
,,救援屏障	气势头带	力量头带,34,73.91%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,19,79.17%,2
,,能量增幅器	猛攻哑铃	焦点镜,16,88.89%,1
,,猛攻哑铃	力量头带	锐利之爪,11,73.33%,1
,,能量增幅器	猛攻哑铃	锐利之爪,10,90.91%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,8,72.73%,1
,,救援屏障	猛攻哑铃	力量头带,4,66.67%,1
,,救援屏障	气势头带	焦点镜,2,100.0%,1
,,猛攻哑铃	力量头带	弱点保险,2,100.0%,1
,,猛攻哑铃	焦点镜	弱点保险,2,66.67%,1
,,救援屏障	猛攻哑铃	锐利之爪,1,50.0%,1
,,气势头带	力量头带	焦点镜,1,50.0%,1
,,气势头带	力量头带	锐利之爪,0,0.0%,1
10,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,78,6.52%,467,67.88%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MW・Angelシ,62,73.81%
,,CeS梦KiD,43,66.15%
,,S4L-,39,61.9%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,伏特替换	放电		攻击强化,396,69.47%,57
,,伏特替换	放电		万灵药,36,61.02%,17
,,伏特替换	放电		伤药	,14,70.0%,3
,,电光		放电		攻击强化,6,50.0%,4
,,伏特替换	放电		向尾喵的尾巴,4,80.0%,3
,,伏特替换	放电		逃脱按键,4,40.0%,5
,,电光		疯狂伏特	攻击强化,3,60.0%,3
,,伏特替换	放电		速度强化,3,60.0%,2
,,伏特替换	疯狂伏特	攻击强化,1,100.0%,1
,,伏特替换	疯狂伏特	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	弱点保险,73,64.04%,9
,,猛攻哑铃	气势头带	弱点保险,43,75.44%,8
,,救援屏障	气势头带	力量头带,5,45.45%,7
,,猛攻哑铃	气势头带	力量头带,53,62.35%,6
,,能量增幅器	力量头带	弱点保险,23,82.14%,5
,,气势头带	力量头带	锐利之爪,33,71.74%,4
,,能量增幅器	救援屏障	力量头带,13,86.67%,4
,,猛攻哑铃	气势头带	锐利之爪,11,78.57%,3
,,气势头带	锐利之爪	弱点保险,28,68.29%,2
,,能量增幅器	气势头带	弱点保险,11,78.57%,2
,,能量增幅器	救援屏障	猛攻哑铃,8,57.14%,2
,,力量头带	锐利之爪	弱点保险,4,57.14%,2
,,能量增幅器	救援屏障	弱点保险,3,42.86%,2
,,能量增幅器	猛攻哑铃	气势头带,2,66.67%,2
,,能量增幅器	救援屏障	锐利之爪,19,65.52%,1
,,救援屏障	气势头带	弱点保险,19,63.33%,1
,,能量增幅器	气势头带	力量头带,11,78.57%,1
,,救援屏障	猛攻哑铃	锐利之爪,6,75.0%,1
,,猛攻哑铃	力量头带	锐利之爪,5,62.5%,1
,,能量增幅器	救援屏障	气势头带,5,50.0%,1
,,能量增幅器	猛攻哑铃	力量头带,3,75.0%,1
,,能量增幅器	猛攻哑铃	锐利之爪,2,50.0%,1
,,能量增幅器	气势头带	锐利之爪,1,100.0%,1
,,救援屏障	力量头带	锐利之爪,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,1,33.33%,1
,,能量增幅器	力量头带	焦点镜,0,0.0%,1
,,救援屏障	猛攻哑铃	力量头带,0,0.0%,1
,,猛攻哑铃	气势头带	焦点镜,0,0.0%,1
11,玛力露丽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,32,4.99%,376,71.48%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ZPRR.Nevorix,104,75.36%
,,LuvYusuf,77,73.33%
,,McToffin,42,61.76%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,水之波动	潮旋		攻击强化,150,70.75%,13
,,水之波动	水流尾	攻击强化,105,75.54%,2
,,水之波动	潮旋		速度强化,61,73.49%,7
,,水之波动	水流尾	速度强化,46,62.16%,6
,,嬉闹		潮旋		攻击强化,8,88.89%,6
,,嬉闹		潮旋		速度强化,6,66.67%,6
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	猛攻哑铃	焦点镜,126,72.0%,10
,,猛攻哑铃	力量头带	焦点镜,148,71.15%,3
,,猛攻哑铃	气势头带	焦点镜,13,81.25%,3
,,猛攻哑铃	焦点镜	弱点保险,5,62.5%,3
,,亿奥斯饼干	猛攻哑铃	气势头带,27,79.41%,2
,,猛攻哑铃	气势头带	弱点保险,20,68.97%,2
,,救援屏障	气势头带	弱点保险,3,100.0%,1
,,亿奥斯饼干	猛攻哑铃	焦点镜,2,100.0%,1
,,气势头带	焦点镜	弱点保险,1,100.0%,1
,,猛攻哑铃	力量头带	弱点保险,1,100.0%,1
,,能量增幅器	猛攻哑铃	气势头带,0,0.0%,1
12,藏饱栗鼠,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,27,4.55%,335,69.79%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,BabyTurtle4,77,70.0%
,,つにき,70,67.31%
,,NoBamboozles,34,72.34%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,打嗝		渴望		向尾喵的尾巴,185,70.34%,18
,,打嗝		渴望		伤药	,114,71.25%,4
,,种子机关枪	大快朵颐	向尾喵的尾巴,14,77.78%,5
,,打嗝		渴望		得分加速装置,7,63.64%,1
,,打嗝		渴望		速度强化,5,45.45%,2
,,种子机关枪	大快朵颐	速度强化,4,100.0%,2
,,种子机关枪	大快朵颐	伤药	,3,50.0%,5
,,打嗝		渴望		攻击强化,1,100.0%,1
,,打嗝		大快朵颐	向尾喵的尾巴,1,100.0%,1
,,打嗝		大快朵颐	速度强化,1,100.0%,1
,,种子机关枪	大快朵颐	攻击强化,0,0.0%,1
,,种子机关枪	渴望		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	猛攻哑铃	气势头带,48,65.75%,5
,,亿奥斯饼干	猛攻哑铃	气势头带,72,67.29%,3
,,猛攻哑铃	气势头带	弱点保险,4,50.0%,3
,,能量增幅器	救援屏障	猛攻哑铃,30,81.08%,2
,,能量增幅器	猛攻哑铃	气势头带,23,76.67%,2
,,猛攻哑铃	轻石		气势头带,4,66.67%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,77,70.0%,1
,,能量增幅器	猛攻哑铃	轻石	,27,72.97%,1
,,能量增幅器	学习装置	轻石	,26,76.47%,1
,,得分护盾	亿奥斯饼干	猛攻哑铃,8,66.67%,1
,,救援屏障	亿奥斯饼干	气势头带,8,61.54%,1
,,得分护盾	猛攻哑铃	气势头带,1,100.0%,1
,,救援屏障	得分护盾	气势头带,1,100.0%,1
,,救援屏障	猛攻哑铃	弱点保险,0,0.0%,1
13,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,57,4.13%,317,72.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,20FF,77,76.24%
,,Savior,50,72.46%
,,死atited04,35,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	蓄能焰袭	逃脱按键,151,71.9%,34
,,火焰踢	蓄能焰袭	攻击强化,134,74.86%,17
,,火焰踢	蓄能焰袭	速度强化,18,69.23%,2
,,火焰踢	蓄能焰袭	万灵药,11,73.33%,7
,,火焰踢	佯攻		速度强化,1,100.0%,1
,,火焰球	蓄能焰袭	速度强化,1,100.0%,1
,,火焰踢	佯攻		逃脱按键,1,50.0%,2
,,火焰踢	佯攻		攻击强化,0,0.0%,1
