,一共游戏场数,5786
1,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,冲浪		烟幕		万灵药,29,69.05%,5
,,飞水手里剑	影子分身	伤药	,11,78.57%,1
,,飞水手里剑	烟幕		攻击强化,6,54.55%,2
,,飞水手里剑	烟幕		逃脱按键,2,100.0%,1
,,飞水手里剑	影子分身	攻击强化,1,50.0%,1
,,冲浪		影子分身	攻击强化,1,50.0%,2
,,飞水手里剑	影子分身	逃脱按键,0,0.0%,1
,,飞水手里剑	烟幕		伤药	,0,0.0%,1
,,冲浪		影子分身	万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,225,69.44%,29
,,气势头带	力量头带	焦点镜,33,66.0%,6
,,力量头带	锐利之爪	焦点镜,46,63.89%,5
,,猛攻哑铃	力量头带	锐利之爪,32,80.0%,5
,,救援屏障	力量头带	焦点镜,5,71.43%,3
,,猛攻哑铃	气势头带	力量头带,3,50.0%,3
,,猛攻哑铃	力量头带	弱点保险,29,85.29%,2
,,能量增幅器	力量头带	焦点镜,3,75.0%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,12,80.0%,1
,,救援屏障	猛攻哑铃	力量头带,1,25.0%,1
,,气势头带	力量头带	锐利之爪,0,0.0%,1
,,能量增幅器	猛攻哑铃	气势头带,0,0.0%,1
5,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,70,9.32%,382,70.87%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,芥川あき,51,80.95%
,,S4L-,47,77.05%
,,CeS梦KiD,31,81.58%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	精神利刃	逃脱按键,269,74.93%,35
,,暗袭要害	精神利刃	万灵药,54,64.29%,15
,,暗袭要害	精神利刃	速度强化,15,65.22%,6
,,暗袭要害	精神利刃	攻击强化,15,60.0%,7
,,暗袭要害	突袭		万灵药,8,100.0%,1
,,暗袭要害	精神利刃	向尾喵的尾巴,8,50.0%,6
,,暗袭要害	精神利刃	得分加速装置,5,100.0%,1
,,暗袭要害	突袭		逃脱按键,3,75.0%,4
,,追打		突袭		逃脱按键,3,50.0%,2
,,追打		精神利刃	万灵药,1,33.33%,1
,,暗袭要害	精神利刃	伤药	,1,25.0%,2
,,追打		精神利刃	向尾喵的尾巴,0,0.0%,1
,,追打		精神利刃	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	焦点镜,148,68.52%,26
,,气势头带	锐利之爪	焦点镜,140,73.68%,23
,,猛攻哑铃	气势头带	焦点镜,13,59.09%,4
,,力量头带	锐利之爪	焦点镜,16,69.57%,3
,,亿奥斯饼干	猛攻哑铃	焦点镜,3,100.0%,2
,,能量增幅器	锐利之爪	焦点镜,1,25.0%,2
,,救援屏障	猛攻哑铃	焦点镜,31,81.58%,1
,,得分护盾	猛攻哑铃	焦点镜,5,100.0%,1
,,能量增幅器	气势头带	焦点镜,3,100.0%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,3,75.0%,1
,,救援屏障	锐利之爪	焦点镜,3,60.0%,1
,,能量增幅器	猛攻哑铃	焦点镜,3,37.5%,1
,,猛攻哑铃	力量头带	焦点镜,1,100.0%,1
,,锐利之爪	焦点镜	弱点保险,0,0.0%,1
6,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,60,9.14%,387,73.16%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MeloskaPokki,34,64.15%
,,RNSャpyi,33,94.29%
,,ゆめにゃん,30,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,踩踏		热带踢	攻击强化,84,83.17%,9
,,踩踏		热带踢	速度强化,83,67.48%,26
,,踩踏		青草滑梯	速度强化,62,75.61%,17
,,踩踏		热带踢	万灵药,39,60.94%,15
,,踩踏		青草滑梯	伤药	,34,65.38%,1
,,踩踏		青草滑梯	万灵药,31,81.58%,7
,,三旋击	青草滑梯	万灵药,22,84.62%,2
,,踩踏		青草滑梯	攻击强化,14,70.0%,6
,,踩踏		青草滑梯	逃脱按键,7,100.0%,2
,,三旋击	热带踢	万灵药,3,100.0%,1
,,踩踏		青草滑梯	向尾喵的尾巴,2,100.0%,1
,,三旋击	热带踢	速度强化,2,66.67%,2
,,三旋击	青草滑梯	攻击强化,2,50.0%,3
,,踩踏		热带踢	逃脱按键,1,100.0%,1
,,踩踏		热带踢	伤药	,1,50.0%,2
,,三旋击	青草滑梯	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,243,72.75%,38
,,亿奥斯饼干	猛攻哑铃	弱点保险,75,78.12%,6
,,猛攻哑铃	锐利之爪	弱点保险,10,71.43%,4
,,猛攻哑铃	气势头带	锐利之爪,26,78.79%,2
,,猛攻哑铃	力量头带	弱点保险,6,100.0%,2
,,亿奥斯饼干	猛攻哑铃	锐利之爪,11,78.57%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,9,52.94%,1
,,猛攻哑铃	贝壳之铃	弱点保险,3,75.0%,1
,,猛攻哑铃	力量头带	锐利之爪,2,28.57%,1
,,能量增幅器	猛攻哑铃	气势头带,1,100.0%,1
,,气势头带	力量头带	焦点镜,1,100.0%,1
,,气势头带	锐利之爪	弱点保险,0,0.0%,1
7,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,73,8.16%,358,75.85%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RNSヤNTツ,82,75.93%
,,頑張りヤード,30,75.0%
,,ゆめにゃん,29,96.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,132,78.11%,30
,,炸蛋		神秘守护	速度强化,125,79.62%,42
,,帮助		神秘守护	速度强化,85,69.11%,27
,,帮助		神秘守护	逃脱按键,5,83.33%,3
,,炸蛋		生蛋		逃脱按键,3,75.0%,3
,,炸蛋		生蛋		攻击强化,2,100.0%,1
,,帮助		生蛋		速度强化,2,50.0%,3
,,炸蛋		神秘守护	逃脱按键,2,50.0%,2
,,帮助		神秘守护	迟缓烟雾,1,100.0%,1
,,炸蛋		神秘守护	向尾喵的尾巴,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	救援屏障	气势头带,135,75.42%,16
,,救援屏障	学习装置	气势头带,61,73.49%,14
,,救援屏障	得分护盾	气势头带,47,78.33%,11
,,救援屏障	进击眼镜	气势头带,12,80.0%,6
,,能量增幅器	救援屏障	气势头带,13,72.22%,5
,,能量增幅器	力量头带	贝壳之铃,6,85.71%,2
,,讲究眼镜	气势头带	博识眼镜,1,50.0%,2
,,讲究眼镜	学习装置	气势头带,29,96.67%,1
,,进击眼镜	学习装置	气势头带,11,100.0%,1
,,讲究眼镜	亿奥斯饼干	进击眼镜,8,66.67%,1
,,讲究眼镜	能量增幅器	救援屏障,8,57.14%,1
,,能量增幅器	救援屏障	进击眼镜,6,75.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,5,71.43%,1
,,能量增幅器	救援屏障	学习装置,3,100.0%,1
,,能量增幅器	气势头带	贝壳之铃,3,100.0%,1
,,讲究眼镜	进击眼镜	气势头带,3,60.0%,1
,,讲究眼镜	能量增幅器	气势头带,2,66.67%,1
,,亿奥斯饼干	进击眼镜	气势头带,2,50.0%,1
,,讲究眼镜	救援屏障	博识眼镜,1,100.0%,1
,,救援屏障	气势头带	锐利之爪,1,100.0%,1
,,能量增幅器	学习装置	气势头带,1,33.33%,1
,,讲究眼镜	进击眼镜	学习装置,0,0.0%,1
,,能量增幅器	救援屏障	贝壳之铃,0,0.0%,1
8,捷拉奥拉,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,49,7.45%,312,72.39%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MMT・Canniel,47,74.6%
,,퍼밍,43,78.18%
,,CeS梦KiD,34,80.95%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电光		疯狂伏特	攻击强化,132,79.04%,12
,,伏特替换	放电		攻击强化,103,72.54%,20
,,伏特替换	放电		万灵药,20,62.5%,13
,,伏特替换	放电		向尾喵的尾巴,16,76.19%,4
,,伏特替换	放电		伤药	,16,61.54%,6
,,伏特替换	放电		逃脱按键,12,57.14%,6
,,伏特替换	放电		速度强化,4,100.0%,2
,,电光		疯狂伏特	逃脱按键,3,75.0%,4
,,电光		疯狂伏特	万灵药,3,50.0%,4
,,电光		放电		攻击强化,1,50.0%,2
,,电光		放电		万灵药,1,50.0%,1
,,电光		放电		逃脱按键,1,33.33%,3
,,电光		放电		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	弱点保险,71,75.53%,5
,,猛攻哑铃	气势头带	力量头带,43,75.44%,5
,,救援屏障	气势头带	力量头带,10,71.43%,5
,,猛攻哑铃	气势头带	弱点保险,36,81.82%,4
,,气势头带	力量头带	弱点保险,19,57.58%,4
,,气势头带	力量头带	锐利之爪,7,87.5%,4
,,亿奥斯饼干	猛攻哑铃	气势头带,4,66.67%,3
,,力量头带	锐利之爪	弱点保险,48,75.0%,2
,,气势头带	锐利之爪	弱点保险,19,61.29%,2
,,猛攻哑铃	力量头带	锐利之爪,9,69.23%,2
,,能量增幅器	救援屏障	力量头带,5,41.67%,2
,,猛攻哑铃	力量头带	弱点保险,2,50.0%,2
,,能量增幅器	猛攻哑铃	气势头带,12,85.71%,1
,,能量增幅器	气势头带	弱点保险,11,84.62%,1
,,猛攻哑铃	力量头带	焦点镜,7,63.64%,1
,,能量增幅器	气势头带	锐利之爪,3,100.0%,1
,,救援屏障	力量头带	锐利之爪,2,100.0%,1
,,猛攻哑铃	气势头带	锐利之爪,2,66.67%,1
,,猛攻哑铃	气势头带	焦点镜,1,100.0%,1
,,气势头带	力量头带	焦点镜,1,100.0%,1
,,力量头带	锐利之爪	焦点镜,0,0.0%,1
9,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,6.24%,263,72.85%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,JPN_King,26,83.87%
,,クラッカー04,25,67.57%
,,sosadsamYT,22,88.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	火焰旋涡	速度强化,153,76.12%,27
,,魔法火焰	火焰旋涡	逃脱按键,92,65.71%,26
,,大字爆炎	火焰旋涡	速度强化,13,92.86%,6
,,大字爆炎	火焰旋涡	逃脱按键,3,100.0%,2
,,大字爆炎	蓄能焰袭	速度强化,1,100.0%,1
,,魔法火焰	蓄能焰袭	速度强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	能量增幅器	贝壳之铃,27,64.29%,8
,,讲究眼镜	气势头带	博识眼镜,25,71.43%,6
,,讲究眼镜	能量增幅器	救援屏障,8,61.54%,5
,,讲究眼镜	气势头带	焦点镜,9,81.82%,4
,,讲究眼镜	能量增幅器	博识眼镜,44,83.02%,3
,,讲究眼镜	能量增幅器	焦点镜,28,82.35%,3
,,能量增幅器	救援屏障	贝壳之铃,21,63.64%,3
,,讲究眼镜	救援屏障	博识眼镜,20,100.0%,3
,,讲究眼镜	能量增幅器	气势头带,13,56.52%,3
,,讲究眼镜	焦点镜	博识眼镜,10,90.91%,2
,,讲究眼镜	救援屏障	气势头带,6,85.71%,2
,,气势头带	力量头带	博识眼镜,8,80.0%,1
,,讲究眼镜	能量增幅器	力量头带,4,100.0%,1
,,讲究眼镜	力量头带	博识眼镜,3,37.5%,1
,,能量增幅器	进击眼镜	气势头带,2,33.33%,1
,,能量增幅器	救援屏障	力量头带,1,100.0%,1
,,能量增幅器	力量头带	贝壳之铃,1,100.0%,1
,,讲究眼镜	锐利之爪	焦点镜,1,100.0%,1
,,能量增幅器	气势头带	焦点镜,1,50.0%,1
,,讲究眼镜	学习装置	焦点镜,0,0.0%,1
,,讲究眼镜	贝壳之铃	博识眼镜,0,0.0%,1
10,皮卡丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,50,5.98%,242,69.94%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,CeS梦Infí,54,79.41%
,,RNSヤYang,28,65.12%
,,かふぇもかVT,22,55.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,打雷		十万伏特	速度强化,80,78.43%,11
,,电球		伏特攻击	逃脱按键,62,76.54%,16
,,电球		伏特攻击	速度强化,34,59.65%,7
,,打雷		伏特攻击	速度强化,29,60.42%,4
,,打雷		十万伏特	逃脱按键,17,58.62%,16
,,电球		十万伏特	得分加速装置,8,66.67%,1
,,打雷		伏特攻击	逃脱按键,6,85.71%,4
,,打雷		伏特攻击	攻击强化,3,100.0%,1
,,电球		十万伏特	逃脱按键,3,50.0%,4
,,电球		伏特攻击	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	能量增幅器	救援屏障,27,54.0%,7
,,讲究眼镜	气势头带	力量头带,21,70.0%,6
,,救援屏障	气势头带	力量头带,5,50.0%,5
,,讲究眼镜	救援屏障	博识眼镜,3,75.0%,4
,,讲究眼镜	救援屏障	力量头带,2,40.0%,4
,,讲究眼镜	能量增幅器	气势头带,38,66.67%,3
,,讲究眼镜	救援屏障	气势头带,28,73.68%,3
,,讲究眼镜	气势头带	博识眼镜,6,66.67%,3
,,讲究眼镜	能量增幅器	博识眼镜,55,79.71%,2
,,能量增幅器	气势头带	力量头带,10,71.43%,2
,,能量增幅器	救援屏障	力量头带,5,62.5%,2
,,讲究眼镜	能量增幅器	力量头带,4,57.14%,2
,,能量增幅器	救援屏障	气势头带,10,83.33%,1
,,讲究眼镜	力量头带	焦点镜,8,66.67%,1
,,能量增幅器	救援屏障	博识眼镜,4,100.0%,1
,,救援屏障	进击眼镜	力量头带,4,100.0%,1
,,讲究眼镜	能量增幅器	贝壳之铃,1,100.0%,1
11,怪力,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,5.58%,248,76.78%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,DanielMil,37,80.43%
,,桜樹雪穂,36,72.0%
,,Xante,24,82.76%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,十字劈	爆裂拳	逃脱按键,115,80.99%,24
,,近身战	爆裂拳	逃脱按键,79,74.53%,27
,,十字劈	爆裂拳	攻击强化,43,71.67%,4
,,十字劈	爆裂拳	速度强化,5,83.33%,1
,,近身战	爆裂拳	攻击强化,4,66.67%,4
,,十字劈	地狱翻滚	逃脱按键,1,100.0%,1
,,近身战	爆裂拳	速度强化,1,100.0%,1
,,十字劈	地狱翻滚	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	力量头带,66,84.62%,13
,,猛攻哑铃	气势头带	锐利之爪,17,80.95%,7
,,猛攻哑铃	锐利之爪	弱点保险,55,75.34%,6
,,猛攻哑铃	力量头带	焦点镜,55,73.33%,5
,,猛攻哑铃	锐利之爪	焦点镜,6,75.0%,3
,,猛攻哑铃	气势头带	焦点镜,11,78.57%,2
,,猛攻哑铃	力量头带	锐利之爪,6,75.0%,2
,,气势头带	力量头带	锐利之爪,5,62.5%,2
,,能量增幅器	猛攻哑铃	气势头带,2,100.0%,2
,,猛攻哑铃	焦点镜	弱点保险,8,66.67%,1
,,救援屏障	气势头带	力量头带,2,66.67%,1
,,气势头带	力量头带	弱点保险,2,66.67%,1
,,气势头带	锐利之爪	焦点镜,1,100.0%,1
,,能量增幅器	猛攻哑铃	弱点保险,1,100.0%,1
,,能量增幅器	猛攻哑铃	力量头带,1,50.0%,1
,,救援屏障	猛攻哑铃	锐利之爪,1,50.0%,1
,,能量增幅器	猛攻哑铃	锐利之爪,0,0.0%,1
,,猛攻哑铃	气势头带	弱点保险,0,0.0%,1
12,闪焰王牌,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,5.53%,222,69.38%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Savior,54,66.67%
,,S4L-,19,67.86%
,,20FF,18,72.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰踢	蓄能焰袭	逃脱按键,130,68.42%,30
,,火焰踢	蓄能焰袭	攻击强化,33,67.35%,7
,,火焰踢	蓄能焰袭	速度强化,19,67.86%,1
,,火焰踢	蓄能焰袭	万灵药,18,78.26%,11
,,火焰球	蓄能焰袭	攻击强化,14,73.68%,1
,,火焰踢	佯攻		逃脱按键,4,80.0%,3
,,火焰踢	蓄能焰袭	向尾喵的尾巴,1,100.0%,1
,,火焰球	蓄能焰袭	万灵药,1,100.0%,1
,,火焰球	佯攻		逃脱按键,1,100.0%,1
,,火焰球	蓄能焰袭	逃脱按键,1,50.0%,2
,,火焰踢	佯攻		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	焦点镜,69,69.7%,16
,,猛攻哑铃	力量头带	焦点镜,50,72.46%,13
,,力量头带	锐利之爪	焦点镜,46,74.19%,13
,,救援屏障	力量头带	焦点镜,2,25.0%,8
,,能量增幅器	力量头带	焦点镜,54,66.67%,1
,,气势头带	力量头带	锐利之爪,1,100.0%,1
13,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,36,5.18%,232,77.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,モチもちもち,37,77.08%
,,S8uL・Ghoul,35,85.37%
,,SirWaddleChu,34,77.27%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜水		空气斩	逃脱按键,132,79.52%,21
,,冲浪		暴风		逃脱按键,45,77.59%,8
,,冲浪		空气斩	攻击强化,32,78.05%,1
,,潜水		空气斩	伤药	,14,73.68%,4
,,冲浪		空气斩	逃脱按键,3,50.0%,5
,,冲浪		暴风		攻击强化,2,66.67%,1
,,冲浪		空气斩	伤药	,1,100.0%,1
,,冲浪		空气斩	速度强化,1,100.0%,1
,,潜水		暴风		速度强化,1,50.0%,1
,,潜水		暴风		伤药	,1,50.0%,1
,,冲浪		暴风		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	救援屏障	气势头带,105,75.0%,13
,,讲究眼镜	气势头带	博识眼镜,86,82.69%,8
,,亿奥斯饼干	进击眼镜	气势头带,20,95.24%,5
,,讲究眼镜	进击眼镜	气势头带,14,58.33%,4
,,进击眼镜	气势头带	博识眼镜,2,100.0%,2
,,讲究眼镜	能量增幅器	气势头带,3,60.0%,1
,,讲究眼镜	救援屏障	博识眼镜,1,100.0%,1
,,讲究眼镜	进击眼镜	博识眼镜,1,50.0%,1
,,救援屏障	进击眼镜	气势头带,0,0.0%,1
14,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,63,4.75%,204,74.18%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ttvSixsies,25,86.21%
,,Rimaaa,13,68.42%
,,jĹ,12,85.71%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,热水		瞬间失忆	伤药	,98,76.56%,37
,,热水		意念移物	速度强化,34,82.93%,7
,,热水		瞬间失忆	速度强化,27,64.29%,12
,,热水		意念移物	伤药	,18,69.23%,11
,,冲浪		瞬间失忆	伤药	,18,66.67%,9
,,冲浪		意念移物	伤药	,3,100.0%,3
,,热水		意念移物	逃脱按键,3,60.0%,3
,,热水		瞬间失忆	逃脱按键,2,100.0%,2
,,热水		意念移物	迟缓烟雾,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	救援屏障	气势头带,46,76.67%,10
