,一共游戏场数,5878
1,梦幻,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TTV_Rollinit,87,80.56%
,,ghostpopRuby,83,80.58%
,,あえイおう,78,73.58%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,精神强念	力量互换	速度强化,1088,73.66%,72
,,精神强念	力量互换	伤药	,168,74.67%,13
,,念力		力量互换	速度强化,86,76.79%,19
,,精神强念	力量互换	得分加速装置,22,66.67%,6
,,精神强念	力量互换	逃脱按键,19,67.86%,6
,,念力		屏障		速度强化,18,72.0%,7
,,念力		屏障		伤药	,16,64.0%,1
,,念力		力量互换	得分加速装置,8,47.06%,2
,,精神强念	力量互换	万灵药,4,66.67%,1
,,念力		力量互换	伤药	,3,100.0%,1
,,精神强念	屏障		速度强化,3,60.0%,4
,,精神强念	力量互换	攻击强化,2,100.0%,1
,,精神强念	屏障		逃脱按键,1,100.0%,1
,,精神强念	屏障		伤药	,0,0.0%,1
,,念力		力量互换	万灵药,0,0.0%,1
,,念力		力量互换	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	进击眼镜	气势头带,199,73.16%,18
,,讲究眼镜	进击眼镜	气势头带,166,75.8%,13
,,救援屏障	进击眼镜	气势头带,195,79.92%,9
,,进击眼镜	气势头带	博识眼镜,287,73.97%,7
,,得分护盾	进击眼镜	气势头带,32,60.38%,6
,,亿奥斯饼干	进击眼镜	气势头带,73,68.22%,5
,,讲究眼镜	得分护盾	气势头带,45,68.18%,3
,,突击背心	进击眼镜	气势头带,50,78.12%,2
,,讲究眼镜	能量增幅器	气势头带,15,88.24%,2
,,讲究眼镜	救援屏障	气势头带,1,50.0%,2
,,讲究眼镜	得分护盾	进击眼镜,78,73.58%,1
,,突击背心	学习装置	气势头带,64,71.91%,1
,,突击背心	救援屏障	进击眼镜,42,59.15%,1
,,得分护盾	学习装置	气势头带,30,65.22%,1
,,救援屏障	气势头带	凸凸头盔,20,86.96%,1
,,进击眼镜	学习装置	气势头带,20,66.67%,1
,,进击眼镜	气势头带	凸凸头盔,18,78.26%,1
,,讲究眼镜	气势头带	博识眼镜,14,77.78%,1
,,突击背心	救援屏障	学习装置,6,60.0%,1
,,讲究眼镜	救援屏障	进击眼镜,5,83.33%,1
,,突击背心	讲究眼镜	气势头带,3,100.0%,1
,,讲究眼镜	进击眼镜	贝壳之铃,1,100.0%,1
,,能量增幅器	救援屏障	进击眼镜,1,100.0%,1
,,救援屏障	贝壳之铃	博识眼镜,1,50.0%,1
,,讲究眼镜	能量增幅器	进击眼镜,0,0.0%,1
,,救援屏障	得分护盾	气势头带,0,0.0%,1
3,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,62,19.07%,824,73.51%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,S4L-,124,74.7%
,,芥川あき,85,85.86%
,,神速ゆるてや,51,70.83%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,追打		突袭		得分加速装置,344,72.88%,24
,,追打		突袭		逃脱按键,181,74.49%,22
,,追打		突袭		伤药	,42,75.0%,3
,,暗袭要害	精神利刃	逃脱按键,39,72.22%,8
,,追打		精神利刃	向尾喵的尾巴,37,82.22%,1
,,暗袭要害	突袭		逃脱按键,34,79.07%,6
,,暗袭要害	精神利刃	万灵药,23,63.89%,5
,,追打		精神利刃	速度强化,21,80.77%,1
,,暗袭要害	精神利刃	攻击强化,20,80.0%,2
,,追打		精神利刃	得分加速装置,14,58.33%,6
,,追打		突袭		万灵药,13,92.86%,5
,,追打		精神利刃	逃脱按键,12,60.0%,3
,,追打		突袭		速度强化,11,91.67%,3
,,追打		精神利刃	万灵药,9,52.94%,2
,,追打		突袭		攻击强化,8,66.67%,3
,,暗袭要害	精神利刃	得分加速装置,6,75.0%,4
,,暗袭要害	精神利刃	速度强化,3,60.0%,4
,,暗袭要害	突袭		攻击强化,2,100.0%,2
,,暗袭要害	突袭		得分加速装置,2,66.67%,3
,,追打		精神利刃	伤药	,1,100.0%,1
,,暗袭要害	突袭		速度强化,1,100.0%,1
,,追打		精神利刃	攻击强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	锐利之爪	焦点镜,278,73.54%,19
,,得分护盾	锐利之爪	焦点镜,258,73.93%,13
,,气势头带	锐利之爪	焦点镜,111,72.55%,10
,,猛攻哑铃	气势头带	焦点镜,26,70.27%,4
,,得分护盾	猛攻哑铃	焦点镜,11,78.57%,3
,,力量头带	锐利之爪	焦点镜,1,25.0%,2
,,能量增幅器	锐利之爪	焦点镜,37,82.22%,1
,,猛攻哑铃	力量头带	焦点镜,30,88.24%,1
,,得分护盾	轻石		焦点镜,19,73.08%,1
,,轻石		锐利之爪	焦点镜,19,65.52%,1
,,猛攻哑铃	气势头带	锐利之爪,1,100.0%,1
,,救援屏障	锐利之爪	焦点镜,1,100.0%,1
,,猛攻哑铃	轻石		锐利之爪,0,0.0%,1
,,得分护盾	气势头带	锐利之爪,0,0.0%,1
4,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,69,15.16%,635,71.27%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RB_pyi,53,80.3%
,,T2_Haruta,43,74.14%
,,GCT.5ZiR10,40,60.61%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,469,72.83%,56
,,圣剑		广域防守	万灵药,95,68.35%,11
,,圣剑		广域防守	速度强化,51,69.86%,13
,,暗影爪	铁头		伤药	,11,73.33%,5
,,圣剑		广域防守	逃脱按键,4,40.0%,4
,,圣剑		广域防守	攻击强化,2,100.0%,2
,,暗影爪	广域防守	逃脱按键,1,100.0%,1
,,圣剑		铁头		速度强化,1,100.0%,1
,,暗影爪	铁头		万灵药,1,100.0%,1
,,圣剑		铁头		伤药	,0,0.0%,2
,,暗影爪	广域防守	伤药	,0,0.0%,2
,,暗影爪	铁头		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	力量头带	弱点保险,231,70.86%,21
,,气势头带	力量头带	锐利之爪,127,78.4%,11
,,猛攻哑铃	气势头带	弱点保险,89,64.49%,11
,,气势头带	锐利之爪	弱点保险,60,65.22%,9
,,轻石		气势头带	锐利之爪,34,75.56%,2
,,轻石		气势头带	力量头带,22,70.97%,2
,,亿奥斯饼干	气势头带	弱点保险,6,100.0%,2
,,猛攻哑铃	气势头带	锐利之爪,0,0.0%,2
,,突击背心	气势头带	力量头带,23,92.0%,1
,,救援屏障	力量头带	弱点保险,12,80.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,12,66.67%,1
,,救援屏障	气势头带	力量头带,8,57.14%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,5,83.33%,1
,,气势头带	焦点镜	弱点保险,2,100.0%,1
,,轻石		气势头带	弱点保险,2,50.0%,1
,,救援屏障	猛攻哑铃	气势头带,1,100.0%,1
,,猛攻哑铃	力量头带	锐利之爪,1,25.0%,1
5,冰伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,65,12.78%,542,72.17%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SilentSheeps,70,75.27%
,,Retsuツ,42,76.36%
,,Teerawatb,38,86.36%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰冻之风	冷冻干燥	攻击强化,207,69.0%,18
,,冰冻之风	冷冻干燥	逃脱按键,174,78.38%,20
,,冰冻之风	冷冻干燥	速度强化,126,72.0%,32
,,冰冻之风	冷冻干燥	万灵药,30,71.43%,4
,,冰冻之风	冰砾		速度强化,2,40.0%,2
,,冰锥		冰砾		逃脱按键,1,100.0%,1
,,冰冻之风	冰砾		攻击强化,1,100.0%,1
,,冰锥		冰砾		速度强化,1,33.33%,3
,,冰锥		冷冻干燥	逃脱按键,0,0.0%,1
,,冰锥		冰砾		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	焦点镜	博识眼镜,106,73.1%,14
,,讲究眼镜	焦点镜	贝壳之铃,88,73.33%,6
,,讲究眼镜	进击眼镜	焦点镜,45,62.5%,6
,,讲究眼镜	能量增幅器	博识眼镜,90,72.0%,5
,,讲究眼镜	气势头带	博识眼镜,29,82.86%,5
,,讲究眼镜	进击眼镜	博识眼镜,13,76.47%,5
,,讲究眼镜	气势头带	焦点镜,7,50.0%,4
,,能量增幅器	焦点镜	贝壳之铃,61,81.33%,2
,,讲究眼镜	贝壳之铃	博识眼镜,24,75.0%,2
,,讲究眼镜	气势头带	力量头带,16,51.61%,2
,,讲究眼镜	能量增幅器	进击眼镜,13,72.22%,2
,,气势头带	焦点镜	博识眼镜,20,90.91%,1
,,讲究眼镜	力量头带	博识眼镜,8,66.67%,1
,,力量头带	焦点镜	博识眼镜,7,87.5%,1
,,讲究眼镜	救援屏障	焦点镜,6,75.0%,1
,,讲究眼镜	能量增幅器	贝壳之铃,4,66.67%,1
,,气势头带	焦点镜	贝壳之铃,1,100.0%,1
,,气势头带	锐利之爪	焦点镜,1,100.0%,1
,,能量增幅器	焦点镜	博识眼镜,1,33.33%,1
,,能量增幅器	力量头带	博识眼镜,0,0.0%,1
,,力量头带	锐利之爪	焦点镜,0,0.0%,1
6,古月鸟,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,41,12.54%,538,73.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,tatsroVT,83,73.45%
,,RB_Suix,82,81.19%
,,RNSヤMaybe,64,73.56%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,潜水		空气斩	逃脱按键,487,73.34%,36
,,潜水		空气斩	伤药	,38,70.37%,5
,,冲浪		暴风		逃脱按键,7,77.78%,3
,,潜水		空气斩	得分加速装置,3,75.0%,1
,,冲浪		空气斩	逃脱按键,2,50.0%,4
,,冲浪		空气斩	得分加速装置,1,100.0%,1
,,潜水		空气斩	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	气势头带	博识眼镜,391,73.36%,20
,,讲究眼镜	救援屏障	气势头带,27,67.5%,2
,,讲究眼镜	能量增幅器	气势头带,15,71.43%,2
,,讲究眼镜	得分护盾	气势头带,10,76.92%,2
,,亿奥斯饼干	进击眼镜	气势头带,7,87.5%,2
,,讲究眼镜	进击眼镜	气势头带,7,70.0%,2
,,能量增幅器	进击眼镜	气势头带,5,83.33%,2
,,讲究眼镜	救援屏障	博识眼镜,5,55.56%,2
,,能量增幅器	救援屏障	博识眼镜,0,0.0%,2
,,讲究眼镜	能量增幅器	进击眼镜,3,100.0%,1
,,得分护盾	进击眼镜	气势头带,2,100.0%,1
,,能量增幅器	气势头带	贝壳之铃,1,100.0%,1
,,能量增幅器	气势头带	博识眼镜,1,100.0%,1
7,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,49,11.18%,472,71.84%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,IX・PikaDiff,71,66.36%
,,JeyJey,58,78.38%
,,RNSヤYang,51,79.69%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	挡路		速度强化,440,72.25%,43
,,重磅冲撞	挡路		逃脱按键,28,66.67%,6
,,抓狂		哈欠		速度强化,3,100.0%,2
,,重磅冲撞	挡路		伤药	,1,100.0%,1
,,抓狂		挡路		逃脱按键,0,0.0%,1
,,重磅冲撞	哈欠		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,救援屏障	学习装置	气势头带,270,71.05%,22
,,救援屏障	得分护盾	气势头带,66,69.47%,13
,,突击背心	救援屏障	气势头带,53,74.65%,3
,,突击背心	学习装置	气势头带,8,61.54%,2
,,突击背心	救援屏障	学习装置,33,71.74%,1
,,救援屏障	得分护盾	学习装置,19,90.48%,1
,,救援屏障	轻石		气势头带,10,71.43%,1
,,学习装置	气势头带	力量头带,6,85.71%,1
,,突击背心	得分护盾	学习装置,5,100.0%,1
,,气势头带	力量头带	弱点保险,2,100.0%,1
,,救援屏障	气势头带	力量头带,0,0.0%,1
,,救援屏障	亿奥斯饼干	气势头带,0,0.0%,1
,,得分护盾	学习装置	气势头带,0,0.0%,1
8,喷火龙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,52,10.89%,463,72.34%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,KurakeOsoru,94,76.42%
,,ttvArtryuu,92,67.15%
,,OGwastaken,59,68.6%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,喷射火焰	大字爆炎	速度强化,247,75.77%,31
,,喷射火焰	大字爆炎	万灵药,97,66.9%,5
,,喷射火焰	大字爆炎	攻击强化,63,77.78%,14
,,喷射火焰	闪焰冲锋	万灵药,25,69.44%,1
,,喷射火焰	闪焰冲锋	速度强化,16,64.0%,4
,,喷射火焰	大字爆炎	逃脱按键,8,61.54%,4
,,喷射火焰	闪焰冲锋	攻击强化,5,50.0%,2
,,火焰拳	闪焰冲锋	攻击强化,1,100.0%,1
,,火焰拳	大字爆炎	速度强化,1,50.0%,1
,,喷射火焰	大字爆炎	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,268,74.86%,18
,,气势头带	力量头带	焦点镜,60,74.07%,14
,,猛攻哑铃	气势头带	焦点镜,8,66.67%,3
,,猛攻哑铃	气势头带	力量头带,4,57.14%,3
,,能量增幅器	力量头带	焦点镜,99,66.89%,2
,,能量增幅器	猛攻哑铃	气势头带,4,80.0%,2
,,力量头带	焦点镜	弱点保险,3,75.0%,2
,,能量增幅器	猛攻哑铃	焦点镜,8,80.0%,1
,,轻石		力量头带	锐利之爪,5,55.56%,1
,,救援屏障	力量头带	焦点镜,1,100.0%,1
,,猛攻哑铃	力量头带	锐利之爪,1,100.0%,1
,,能量增幅器	气势头带	力量头带,1,100.0%,1
,,能量增幅器	气势头带	焦点镜,1,100.0%,1
,,能量增幅器	猛攻哑铃	力量头带,0,0.0%,1
,,亿奥斯饼干	猛攻哑铃	力量头带,0,0.0%,1
9,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,47,7.11%,300,71.77%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Sareyu,43,69.35%
,,F4・Zeke,43,67.19%
,,Wablet?,21,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,神速		骨棒乱打	万灵药,227,71.16%,34
,,增强拳	近身战	速度强化,31,70.45%,10
,,神速		骨棒乱打	速度强化,16,69.57%,7
,,增强拳	近身战	攻击强化,14,87.5%,6
,,增强拳	近身战	逃脱按键,3,75.0%,3
,,增强拳	近身战	万灵药,3,60.0%,4
,,神速		近身战	万灵药,2,100.0%,2
,,神速		骨棒乱打	攻击强化,1,100.0%,1
,,增强拳	骨棒乱打	攻击强化,1,100.0%,1
,,增强拳	骨棒乱打	万灵药,1,100.0%,1
,,神速		骨棒乱打	逃脱按键,1,100.0%,1
,,增强拳	骨棒乱打	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	弱点保险,148,70.81%,20
,,猛攻哑铃	锐利之爪	弱点保险,89,71.77%,10
,,猛攻哑铃	力量头带	锐利之爪,21,67.74%,9
,,猛攻哑铃	气势头带	力量头带,3,100.0%,2
,,猛攻哑铃	气势头带	弱点保险,2,50.0%,2
,,猛攻哑铃	轻石		锐利之爪,21,75.0%,1
,,猛攻哑铃	轻石		弱点保险,3,100.0%,1
,,猛攻哑铃	轻石		力量头带,1,100.0%,1
10,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,35,6.96%,277,67.73%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Trafyyy,107,69.93%
,,20FF,84,71.79%
,,Overseert,18,56.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		烟幕		逃脱按键,144,68.25%,9
,,冲浪		烟幕		攻击强化,112,69.14%,18
,,冲浪		烟幕		万灵药,20,58.82%,10
,,飞水手里剑	烟幕		逃脱按键,1,100.0%,1
,,飞水手里剑	影子分身	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	力量头带	焦点镜,71,61.21%,25
,,力量头带	锐利之爪	焦点镜,115,69.7%,3
,,猛攻哑铃	力量头带	锐利之爪,85,72.03%,2
,,救援屏障	力量头带	焦点镜,5,71.43%,2
,,猛攻哑铃	轻石		力量头带,0,0.0%,1
,,猛攻哑铃	气势头带	力量头带,0,0.0%,1
11,烈箭鹰,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,30,6.09%,257,71.79%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,りくたろうー,55,72.37%
,,SilentSheeps,38,70.37%
,,Wulf?,29,85.29%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,蓄能焰袭	飞翔		逃脱按键,131,76.61%,11
,,蓄能焰袭	飞翔		得分加速装置,99,68.75%,17
,,燕返		飞翔		逃脱按键,13,52.0%,1
,,蓄能焰袭	飞翔		攻击强化,11,84.62%,2
,,燕返		勇鸟猛攻	逃脱按键,2,50.0%,4
,,蓄能焰袭	勇鸟猛攻	得分加速装置,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,得分护盾	亿奥斯饼干	轻石	,56,74.67%,5
,,得分护盾	猛攻哑铃	轻石	,9,69.23%,4
,,得分护盾	猛攻哑铃	锐利之爪,2,50.0%,3
,,猛攻哑铃	锐利之爪	焦点镜,2,40.0%,3
,,得分护盾	亿奥斯饼干	猛攻哑铃,44,70.97%,2
,,得分护盾	轻石		气势头带,38,79.17%,2
,,气势头带	锐利之爪	焦点镜,17,77.27%,2
,,猛攻哑铃	气势头带	锐利之爪,6,100.0%,2
,,得分护盾	轻石		锐利之爪,55,72.37%,1
,,得分护盾	轻石		力量头带,13,76.47%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,13,52.0%,1
,,救援屏障	力量头带	锐利之爪,2,100.0%,1
,,猛攻哑铃	力量头带	锐利之爪,0,0.0%,1
,,轻石		气势头带	锐利之爪,0,0.0%,1
,,得分护盾	气势头带	锐利之爪,0,0.0%,1
12,藏饱栗鼠,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,18,2.91%,124,72.51%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OH・Olivotec,29,76.32%
,,NoBamboozles,27,79.41%
,,滅_Me2,16,80.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,打嗝		渴望		得分加速装置,39,73.58%,6
,,打嗝		渴望		向尾喵的尾巴,36,67.92%,11
,,打嗝		渴望		速度强化,30,73.17%,4
,,打嗝		渴望		伤药	,11,91.67%,3
,,打嗝		渴望		逃脱按键,6,60.0%,1
,,种子机关枪	大快朵颐	向尾喵的尾巴,2,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,得分护盾	猛攻哑铃	气势头带,52,74.29%,4
,,能量增幅器	猛攻哑铃	气势头带,14,82.35%,2
,,能量增幅器	猛攻哑铃	轻石	,14,51.85%,2
,,亿奥斯饼干	猛攻哑铃	弱点保险,3,75.0%,2
,,救援屏障	猛攻哑铃	气势头带,27,79.41%,1
,,救援屏障	得分护盾	猛攻哑铃,5,62.5%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,2,100.0%,1
,,救援屏障	猛攻哑铃	弱点保险,2,66.67%,1
,,得分护盾	亿奥斯饼干	猛攻哑铃,2,66.67%,1
,,猛攻哑铃	气势头带	弱点保险,1,100.0%,1
,,突击背心	猛攻哑铃	气势头带,1,100.0%,1
,,气势头带	力量头带	弱点保险,1,100.0%,1
13,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,25,2.36%,104,74.82%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,fwii・YT,44,75.86%
,,V1XeN_,12,80.0%
,,MW・ÉoMax,7,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,踩踏		青草滑梯	速度强化,41,80.39%,3
,,踩踏		热带踢	速度强化,23,69.7%,5
,,踩踏		热带踢	攻击强化,12,66.67%,10
,,踩踏		热带踢	万灵药,5,100.0%,4
,,三旋击	热带踢	万灵药,5,62.5%,3
,,踩踏		青草滑梯	万灵药,5,55.56%,1
,,三旋击	热带踢	攻击强化,4,100.0%,2
,,三旋击	青草滑梯	万灵药,3,100.0%,1
,,三旋击	青草滑梯	伤药	,2,66.67%,2
,,三旋击	青草滑梯	速度强化,1,100.0%,1
,,三旋击	青草滑梯	逃脱按键,1,100.0%,1
,,踩踏		热带踢	得分加速装置,1,100.0%,1
,,踩踏		热带踢	逃脱按键,1,100.0%,1
,,三旋击	青草滑梯	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	气势头带	弱点保险,55,75.34%,18
,,猛攻哑铃	力量头带	弱点保险,1,33.33%,2
,,能量增幅器	亿奥斯饼干	猛攻哑铃,44,75.86%,1
,,猛攻哑铃	气势头带	力量头带,2,100.0%,1
,,气势头带	力量头带	焦点镜,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	气势头带,1,100.0%,1
14,耿鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,22,2.18%,91,71.09%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,UnTamed,35,81.4%
,,GCT.5ZiR10,10,71.43%
,,QLASH・YanG,8,72.73%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,污泥炸弹	祸不单行	万灵药,59,72.84%,10
,,暗影球	食梦		逃脱按键,21,70.0%,7
,,污泥炸弹	祸不单行	逃脱按键,5,55.56%,5
,,暗影球	食梦		速度强化,4,100.0%,2
,,污泥炸弹	祸不单行	速度强化,1,100.0%,1
,,暗影球	食梦		万灵药,1,50.0%,2
,,污泥炸弹	祸不单行	得分加速装置,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,讲究眼镜	进击眼镜	博识眼镜,28,68.29%,8
,,讲究眼镜	气势头带	博识眼镜,11,78.57%,3
,,讲究眼镜	进击眼镜	气势头带,5,33.33%,2
,,讲究眼镜	贝壳之铃	博识眼镜,4,100.0%,2
,,能量增幅器	进击眼镜	贝壳之铃,4,80.0%,2
,,讲究眼镜	能量增幅器	博识眼镜,3,75.0%,2
,,讲究眼镜	能量增幅器	贝壳之铃,35,81.4%,1
