,一共游戏场数,9896
1,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,INF・Cho,87,74.36%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,823,75.64%,74
,,暗冥强击	深渊突刺	万灵药,180,76.27%,10
,,暗冥强击	深渊突刺	速度强化,46,73.02%,10
,,水流连打	水流裂破	逃脱按键,6,75.0%,4
,,水流连打	水流裂破	万灵药,3,75.0%,2
,,暗冥强击	深渊突刺	向尾喵的尾巴,2,66.67%,2
,,暗冥强击	深渊突刺	伤药	,1,33.33%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,202,77.1%,10
,,力量头带	能量增幅器	锐利之爪,146,78.49%,9
,,猛攻哑铃	能量增幅器	锐利之爪,39,82.98%,7
,,力量头带	气势头带	能量增幅器,198,76.15%,6
,,弱点保险	猛攻哑铃	锐利之爪,98,72.06%,6
,,气势头带	猛攻哑铃	锐利之爪,42,87.5%,6
,,力量头带	猛攻哑铃	锐利之爪,40,76.92%,6
,,焦点镜	猛攻哑铃	锐利之爪,17,58.62%,4
,,力量头带	气势头带	锐利之爪,6,60.0%,4
,,力量头带	弱点保险	能量增幅器,43,82.69%,3
,,力量头带	气势头带	猛攻哑铃,38,80.85%,3
,,弱点保险	能量增幅器	锐利之爪,18,50.0%,3
,,气势头带	焦点镜	猛攻哑铃,11,84.62%,3
,,焦点镜	猛攻哑铃	能量增幅器,8,66.67%,3
,,力量头带	焦点镜	猛攻哑铃,9,60.0%,2
,,气势头带	能量增幅器	锐利之爪,8,66.67%,2
,,弱点保险	气势头带	锐利之爪,4,57.14%,2
,,力量头带	弱点保险	猛攻哑铃,87,74.36%,1
,,力量头带	轻石	锐利之爪,17,85.0%,1
,,力量头带	猛攻哑铃	能量增幅器,10,71.43%,1
,,力量头带	气势头带	焦点镜,8,72.73%,1
,,力量头带	弱点保险	焦点镜,5,83.33%,1
,,气势头带	猛攻哑铃	能量增幅器,3,60.0%,1
,,弱点保险	气势头带	焦点镜,2,50.0%,1
,,弱点保险	气势头带	能量增幅器,1,100.0%,1
,,弱点保险	焦点镜	猛攻哑铃,1,50.0%,1
,,力量头带	焦点镜	锐利之爪,0,0.0%,1
4,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,78,13.24%,994,75.88%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,とうわたYT,97,71.32%
,,IamCooool,94,87.04%
,,べちんㅤㅤ,86,85.15%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	高速移动	万灵药,618,75.74%,51
,,啄钻		飞踢		万灵药,285,74.03%,42
,,三重攻击	飞踢		万灵药,53,94.64%,9
,,三重攻击	高速移动	逃脱按键,22,81.48%,4
,,啄钻		飞踢		逃脱按键,10,66.67%,2
,,啄钻		高速移动	万灵药,4,80.0%,4
,,啄钻		飞踢		得分加速装置,1,100.0%,1
,,三重攻击	高速移动	速度强化,1,100.0%,1
,,啄钻		飞踢		攻击强化,0,0.0%,1
,,三重攻击	高速移动	攻击强化,0,0.0%,1
,,三重攻击	高速移动	得分加速装置,0,0.0%,1
,,啄钻		飞踢		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	轻石	锐利之爪,600,76.24%,38
,,亿奥斯饼干	猛攻哑铃	锐利之爪,153,79.27%,15
,,治愈王冠	猛攻哑铃	锐利之爪,70,79.55%,6
,,得分护盾	猛攻哑铃	锐利之爪,27,72.97%,4
,,力量头带	猛攻哑铃	锐利之爪,102,71.33%,3
,,亿奥斯饼干	猛攻哑铃	轻石,17,62.96%,2
,,猛攻哑铃	能量增幅器	锐利之爪,7,63.64%,2
,,气势头带	猛攻哑铃	锐利之爪,5,100.0%,2
,,得分护盾	气势头带	猛攻哑铃,8,72.73%,1
,,气势头带	轻石	锐利之爪,2,50.0%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	得分护盾	锐利之爪,1,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,1,100.0%,1
,,学习装置	气势头带	轻石,0,0.0%,1
5,勾魂眼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,59,9.23%,718,78.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Rimaaa,82,82.0%
,,코미ㅤ,78,81.25%
,,1LevUP,76,75.25%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,影子偷袭	奇异之光	速度强化,540,78.03%,44
,,影子偷袭	奇异之光	得分加速装置,85,82.52%,2
,,拍落		奇异之光	速度强化,30,76.92%,9
,,影子偷袭	奇异之光	逃脱按键,16,80.0%,6
,,拍落		奇异之光	逃脱按键,14,73.68%,4
,,影子偷袭	出奇一击	伤药	,13,86.67%,1
,,影子偷袭	出奇一击	速度强化,11,68.75%,9
,,拍落		出奇一击	速度强化,4,100.0%,4
,,影子偷袭	奇异之光	万灵药,4,100.0%,2
,,影子偷袭	出奇一击	得分加速装置,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	轻石,386,78.94%,18
,,学习装置	猛攻哑铃	轻石,69,70.41%,16
,,气势头带	猛攻哑铃	轻石,45,77.59%,5
,,猛攻哑铃	轻石	锐利之爪,13,68.42%,3
,,吃剩的东西	学习装置	轻石,22,91.67%,2
,,得分护盾	猛攻哑铃	轻石,19,90.48%,2
,,学习装置	轻石	锐利之爪,8,72.73%,2
,,得分护盾	轻石	锐利之爪,82,82.0%,1
,,学习装置	气势头带	猛攻哑铃,21,72.41%,1
,,焦点镜	猛攻哑铃	轻石,16,80.0%,1
,,学习装置	得分护盾	猛攻哑铃,13,86.67%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,12,80.0%,1
,,气势头带	轻石	锐利之爪,6,75.0%,1
,,弱点保险	气势头带	猛攻哑铃,2,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,1,100.0%,1
,,学习装置	救援屏障	轻石,1,100.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,1,100.0%,1
,,学习装置	得分护盾	轻石,1,100.0%,1
6,魔墙人偶,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,83,8.1%,595,74.19%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,iDestroyYoú,76,81.72%
,,IMP_PIRATE,41,70.69%
,,Æ·96,37,80.43%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,念力		力量互换	速度强化,457,73.47%,68
,,念力		屏障		速度强化,57,73.08%,23
,,念力		力量互换	伤药	,31,79.49%,6
,,念力		力量互换	逃脱按键,25,75.76%,5
,,念力		屏障		逃脱按键,15,88.24%,1
,,精神强念	力量互换	速度强化,6,66.67%,8
,,念力		屏障		伤药	,2,100.0%,2
,,精神强念	屏障		速度强化,1,100.0%,1
,,精神强念	力量互换	逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,气势头带	讲究眼镜	进击眼镜,329,75.98%,33
,,学习装置	气势头带	进击眼镜,70,78.65%,16
,,学习装置	气势头带	讲究眼镜,31,58.49%,4
,,博识眼镜	气势头带	进击眼镜,30,71.43%,4
,,博识眼镜	讲究眼镜	进击眼镜,15,60.0%,4
,,气势头带	能量增幅器	进击眼镜,8,80.0%,4
,,学习装置	讲究眼镜	进击眼镜,25,64.1%,3
,,学习装置	救援屏障	气势头带,11,78.57%,3
,,救援屏障	气势头带	进击眼镜,9,81.82%,3
,,博识眼镜	气势头带	讲究眼镜,20,76.92%,2
,,救援屏障	气势头带	讲究眼镜,17,94.44%,1
,,能量增幅器	讲究眼镜	进击眼镜,15,88.24%,1
,,得分护盾	气势头带	进击眼镜,6,50.0%,1
,,学习装置	气势头带	能量增幅器,4,100.0%,1
,,博识眼镜	学习装置	讲究眼镜,3,75.0%,1
,,博识眼镜	学习装置	气势头带,2,66.67%,1
,,亿奥斯饼干	气势头带	进击眼镜,0,0.0%,1
7,妖火红狐,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,5.15%,386,75.69%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,datboiMuk,55,82.09%
,,MoneyMaxTV,43,86.0%
,,luke_lol_123,38,88.37%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,魔法火焰	蓄能焰袭	万灵药,251,77.47%,30
,,魔法火焰	蓄能焰袭	逃脱按键,126,72.83%,41
,,魔法火焰	蓄能焰袭	速度强化,5,71.43%,4
,,魔法火焰	火焰旋涡	逃脱按键,2,66.67%,2
,,大字爆炎	蓄能焰袭	逃脱按键,1,100.0%,1
,,魔法火焰	火焰旋涡	万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,能量增幅器	讲究眼镜	贝壳之铃,261,75.0%,31
,,博识眼镜	能量增幅器	讲究眼镜,20,66.67%,9
,,救援屏障	能量增幅器	贝壳之铃,10,66.67%,5
,,气势头带	能量增幅器	讲究眼镜,40,86.96%,4
,,博识眼镜	能量增幅器	贝壳之铃,13,65.0%,4
,,博识眼镜	气势头带	讲究眼镜,23,82.14%,3
,,博识眼镜	讲究眼镜	贝壳之铃,6,100.0%,3
,,救援屏障	气势头带	能量增幅器,5,83.33%,3
,,救援屏障	能量增幅器	讲究眼镜,4,80.0%,2
,,博识眼镜	气势头带	贝壳之铃,2,100.0%,1
,,博识眼镜	救援屏障	能量增幅器,2,50.0%,1
8,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,60,4.81%,338,71.01%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Roastㅤ,68,77.27%
,,コロロくん,46,66.67%
,,Sazuroさ,40,70.18%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,163,71.18%,22
,,帮助		神秘守护	速度强化,159,70.35%,42
,,炸蛋		神秘守护	速度强化,12,85.71%,9
,,帮助		生蛋		速度强化,2,100.0%,2
,,帮助		生蛋		伤药	,1,100.0%,1
,,炸蛋		生蛋		逃脱按键,1,50.0%,2
,,帮助		神秘守护	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,207,74.73%,31
,,学习装置	气势头带	能量增幅器,24,80.0%,5
,,学习装置	得分护盾	救援屏障,13,59.09%,3
,,学习装置	救援屏障	能量增幅器,4,100.0%,2
,,救援屏障	气势头带	讲究眼镜,4,44.44%,2
,,救援屏障	气势头带	能量增幅器,1,50.0%,2
,,学习装置	气势头带	进击眼镜,0,0.0%,2
,,博识眼镜	学习装置	进击眼镜,46,66.67%,1
,,救援屏障	气势头带	进击眼镜,20,71.43%,1
,,学习装置	救援屏障	进击眼镜,7,70.0%,1
,,学习装置	救援屏障	讲究眼镜,5,55.56%,1
,,得分护盾	救援屏障	气势头带,2,100.0%,1
,,学习装置	气势头带	讲究眼镜,1,100.0%,1
,,亿奥斯饼干	救援屏障	气势头带,1,100.0%,1
,,学习装置	得分护盾	气势头带,1,100.0%,1
,,学习装置	救援屏障	焦点镜,1,50.0%,1
,,博识眼镜	气势头带	进击眼镜,1,33.33%,1
,,博识眼镜	学习装置	气势头带,0,0.0%,1
,,气势头带	讲究眼镜	进击眼镜,0,0.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,0,0.0%,1
9,象牙猪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,47,4.7%,349,75.05%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,まきろに,65,79.27%
,,iDestroyYoú,53,64.63%
,,YASH_4E,47,72.31%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冰柱坠击	十万马力	逃脱按键,174,79.82%,23
,,冰柱坠击	十万马力	伤药	,153,70.18%,16
,,冰柱坠击	十万马力	速度强化,9,75.0%,5
,,冰柱坠击	地震		速度强化,4,100.0%,2
,,冰柱坠击	地震		逃脱按键,4,66.67%,3
,,冰冻牙	十万马力	逃脱按键,2,100.0%,2
,,冰冻牙	地震		伤药	,1,100.0%,1
,,冰冻牙	地震		逃脱按键,1,100.0%,1
,,冰冻牙	十万马力	伤药	,1,50.0%,1
,,冰柱坠击	地震		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	连打围巾,52,76.47%,8
,,学习装置	救援屏障	气势头带,12,80.0%,5
,,力量头带	气势头带	猛攻哑铃,108,68.35%,4
,,弱点保险	气势头带	猛攻哑铃,23,79.31%,4
,,学习装置	气势头带	猛攻哑铃,70,79.55%,3
,,力量头带	学习装置	气势头带,31,79.49%,3
,,力量头带	气势头带	连打围巾,13,76.47%,3
,,力量头带	救援屏障	气势头带,3,100.0%,3
,,救援屏障	气势头带	连打围巾,3,75.0%,3
,,亿奥斯饼干	气势头带	猛攻哑铃,2,100.0%,2
,,学习装置	救援屏障	连打围巾,17,80.95%,1
,,亿奥斯饼干	学习装置	气势头带,5,100.0%,1
,,力量头带	学习装置	连打围巾,3,75.0%,1
,,救援屏障	气势头带	猛攻哑铃,3,75.0%,1
,,救援屏障	气势头带	突击背心,3,75.0%,1
,,弱点保险	气势头带	能量增幅器,1,100.0%,1
,,得分护盾	气势头带	连打围巾,0,0.0%,1
,,弱点保险	救援屏障	气势头带,0,0.0%,1
,,气势头带	猛攻哑铃	能量增幅器,0,0.0%,1
10,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,49,4.24%,299,71.19%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Níke,63,68.48%
,,Æ·player666,31,60.78%
,,きゃたlove_Y,24,75.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		烟幕		攻击强化,203,70.73%,34
,,冲浪		烟幕		万灵药,42,71.19%,15
,,冲浪		烟幕		伤药	,26,65.0%,1
,,冲浪		烟幕		逃脱按键,22,81.48%,5
,,冲浪		影子分身	万灵药,2,100.0%,1
,,飞水手里剑	影子分身	伤药	,1,100.0%,1
,,飞水手里剑	影子分身	万灵药,1,100.0%,1
,,冲浪		影子分身	逃脱按键,1,100.0%,1
,,冲浪		影子分身	攻击强化,1,100.0%,1
,,飞水手里剑	影子分身	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	猛攻哑铃,128,72.73%,22
,,力量头带	焦点镜	连打围巾,71,66.36%,10
,,力量头带	猛攻哑铃	连打围巾,21,80.77%,8
,,力量头带	气势头带	焦点镜,4,80.0%,2
,,力量头带	猛攻哑铃	能量增幅器,63,68.48%,1
,,力量头带	弱点保险	猛攻哑铃,6,85.71%,1
,,力量头带	焦点镜	能量增幅器,2,66.67%,1
,,力量头带	气势头带	猛攻哑铃,1,100.0%,1
,,弱点保险	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	气势头带	连打围巾,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
11,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,58,4.2%,306,73.56%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,MoneyMaxTV,52,65.0%
,,QLASH・Stark,40,88.89%
,,elo,39,84.78%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	挡路		速度强化,204,76.12%,49
,,重磅冲撞	挡路		逃脱按键,100,70.42%,10
,,抓狂		挡路		向尾喵的尾巴,1,50.0%,1
,,抓狂		挡路		速度强化,1,25.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,257,72.39%,41
,,学习装置	得分护盾	气势头带,17,89.47%,3
,,亿奥斯饼干	救援屏障	气势头带,4,66.67%,3
,,学习装置	气势头带	轻石,6,75.0%,2
,,得分护盾	救援屏障	气势头带,3,100.0%,2
,,力量头带	救援屏障	气势头带,0,0.0%,2
,,学习装置	气势头带	突击背心,10,100.0%,1
,,救援屏障	气势头带	突击背心,4,66.67%,1
,,力量头带	学习装置	气势头带,3,100.0%,1
,,救援屏障	气势头带	轻石,2,100.0%,1
,,救援屏障	气势头带	猛攻哑铃,0,0.0%,1
12,路卡利欧,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,61,3.8%,275,73.14%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,腹痛の天使様,33,73.33%
,,OGwastaken,23,76.67%
,,YASHRANGERA,20,76.92%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,增强拳	近身战	速度强化,93,72.66%,20
,,神速		骨棒乱打	万灵药,92,68.15%,37
,,增强拳	近身战	攻击强化,21,84.0%,7
,,神速		骨棒乱打	速度强化,20,86.96%,8
,,增强拳	近身战	逃脱按键,12,92.31%,7
,,神速		骨棒乱打	攻击强化,12,70.59%,4
,,增强拳	近身战	万灵药,9,69.23%,4
,,增强拳	骨棒乱打	攻击强化,3,100.0%,2
,,神速		骨棒乱打	逃脱按键,3,60.0%,2
,,增强拳	近身战	迟缓烟雾,3,50.0%,1
,,增强拳	骨棒乱打	万灵药,1,100.0%,1
,,增强拳	骨棒乱打	迟缓烟雾,1,100.0%,1
,,增强拳	骨棒乱打	逃脱按键,1,100.0%,1
,,神速		近身战	万灵药,1,100.0%,1
,,增强拳	骨棒乱打	速度强化,1,100.0%,1
,,神速		近身战	速度强化,1,100.0%,1
,,神速		近身战	攻击强化,1,100.0%,1
,,增强拳	近身战	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	弱点保险	猛攻哑铃,127,72.57%,28
,,弱点保险	猛攻哑铃	锐利之爪,80,75.47%,19
,,力量头带	猛攻哑铃	锐利之爪,33,70.21%,6
,,气势头带	猛攻哑铃	锐利之爪,16,76.19%,2
,,弱点保险	猛攻哑铃	轻石,16,69.57%,2
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,1,100.0%,1
,,力量头带	气势头带	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,0,0.0%,1
13,呆壳兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,46,3.67%,275,75.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,.多綠兒.,77,83.7%
,,IMP_PIRATE,52,82.54%
,,OЯG・DrakenN,20,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,热水		瞬间失忆	伤药	,113,75.33%,24
,,冲浪		瞬间失忆	伤药	,79,79.0%,11
,,热水		瞬间失忆	逃脱按键,16,64.0%,7
,,热水		瞬间失忆	速度强化,15,68.18%,7
,,热水		意念移物	伤药	,13,86.67%,6
,,冲浪		瞬间失忆	逃脱按键,10,66.67%,6
,,冲浪		意念移物	伤药	,8,80.0%,5
,,冲浪		意念移物	逃脱按键,7,77.78%,3
,,热水		意念移物	逃脱按键,5,100.0%,5
,,热水		意念移物	速度强化,5,83.33%,4
,,冲浪		瞬间失忆	速度强化,4,80.0%,5
,,冲浪		意念移物	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	气势头带	讲究眼镜,52,77.61%,14
,,学习装置	救援屏障	气势头带,14,93.33%,7
,,气势头带	讲究眼镜	进击眼镜,83,81.37%,4
,,学习装置	气势头带	进击眼镜,14,56.0%,4
,,博识眼镜	气势头带	讲究眼镜,8,57.14%,4
,,救援屏障	气势头带	讲究眼镜,64,85.33%,3
,,救援屏障	气势头带	进击眼镜,3,60.0%,3
,,气势头带	讲究眼镜	贝壳之铃,20,66.67%,1
,,亿奥斯饼干	气势头带	进击眼镜,6,50.0%,1
,,亿奥斯饼干	学习装置	气势头带,5,83.33%,1
,,亿奥斯饼干	救援屏障	气势头带,4,100.0%,1
,,力量头带	救援屏障	气势头带,1,50.0%,1
,,学习装置	能量增幅器	贝壳之铃,1,20.0%,1
,,力量头带	博识眼镜	气势头带,0,0.0%,1
14,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,48,3.21%,206,64.78%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Sui_Sui,49,56.32%
,,魂魄妖夢VT,22,68.75%
,,Zerocha,16,61.54%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三旋击	青草滑梯	万灵药,74,58.27%,9
,,踩踏		青草滑梯	万灵药,34,62.96%,17
,,踩踏		热带踢	攻击强化,28,75.68%,9
,,踩踏		青草滑梯	攻击强化,28,66.67%,12
,,三旋击	热带踢	攻击强化,10,55.56%,1
,,踩踏		热带踢	万灵药,9,64.29%,6
,,踩踏		热带踢	速度强化,8,100.0%,3
,,三旋击	青草滑梯	攻击强化,6,85.71%,5
,,三旋击	热带踢	万灵药,4,80.0%,3
,,踩踏		青草滑梯	速度强化,2,100.0%,2
,,三旋击	青草滑梯	伤药	,2,66.67%,1
,,三旋击	热带踢	伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
