,一共游戏场数,12590
1,达克莱伊,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,力量头带	猛攻哑铃	锐利之爪,254,69.4%,56
,,弱点保险	猛攻哑铃	锐利之爪,73,67.59%,17
,,力量头带	弱点保险	锐利之爪,29,61.7%,8
,,充能坠饰	猛攻哑铃	锐利之爪,14,77.78%,8
,,气势头带	猛攻哑铃	锐利之爪,24,77.42%,5
,,力量头带	弱点保险	猛攻哑铃,47,72.31%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,7,87.5%,1
,,共鸣护盾	猛攻哑铃	锐利之爪,5,100.0%,1
,,充能坠饰	咒术手镯	猛攻哑铃,4,100.0%,1
,,猛攻哑铃	能量增幅器	锐利之爪,3,100.0%,1
,,咒术手镯	猛攻哑铃	锐利之爪,3,75.0%,1
,,力量头带	焦点镜	锐利之爪,1,100.0%,1
,,力量头带	咒术手镯	猛攻哑铃,1,100.0%,1
5,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,107,4.88%,446,72.64%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,勝率低犬黙ろ,26,66.67%
,,DIRE-Crystal,23,82.14%
,,Savag3・,18,69.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,245,73.35%,82
,,过热		火焰踢	逃脱按键,194,71.32%,87
,,过热		火焰踢	伤药	,4,80.0%,1
,,火焰拳	真气弹	万灵药,2,100.0%,2
,,过热		火焰踢	万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,292,71.05%,84
,,弱点保险	气势头带	猛攻哑铃,118,77.63%,11
,,力量头带	弱点保险	猛攻哑铃,13,68.42%,4
,,亿奥斯饼干	弱点保险	猛攻哑铃,12,75.0%,3
,,咒术手镯	弱点保险	猛攻哑铃,6,66.67%,2
,,气势头带	猛攻哑铃	锐利之爪,2,100.0%,1
,,共鸣护盾	猛攻哑铃	锐利之爪,2,50.0%,1
,,弱点保险	气势头带	锐利之爪,1,100.0%,1
6,皮卡丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,101,4.19%,356,67.55%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,゜°,44,69.84%
,,Füŵäri,28,80.0%
,,areshre,26,63.41%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,电球		伏特攻击	逃脱按键,209,67.86%,58
,,打雷		十万伏特	逃脱按键,57,65.52%,41
,,电球		伏特攻击	脱壳忍者玩偶,23,67.65%,3
,,电球		伏特攻击	速度强化,19,65.52%,11
,,打雷		伏特攻击	速度强化,16,72.73%,2
,,打雷		十万伏特	脱壳忍者玩偶,10,83.33%,1
,,打雷		十万伏特	速度强化,9,75.0%,5
,,打雷		伏特攻击	逃脱按键,6,50.0%,8
,,电球		十万伏特	逃脱按键,3,100.0%,3
,,打雷		伏特攻击	万灵药,2,66.67%,1
,,打雷		十万伏特	万灵药,1,100.0%,1
,,打雷		十万伏特	伤药	,1,50.0%,1
,,打雷		伏特攻击	脱壳忍者玩偶,0,0.0%,1
,,电球		十万伏特	脱壳忍者玩偶,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	能量增幅器	讲究眼镜,193,63.7%,42
,,咒术熏香	穿透汤匙	能量增幅器,32,65.31%,17
,,学习装置	穿透汤匙	能量增幅器,37,74.0%,8
,,穿透汤匙	能量增幅器	贝壳之铃,9,60.0%,7
,,咒术熏香	穿透汤匙	讲究眼镜,21,77.78%,6
,,博识眼镜	穿透汤匙	讲究眼镜,1,20.0%,4
,,博识眼镜	穿透汤匙	能量增幅器,34,79.07%,3
,,咒术熏香	学习装置	穿透汤匙,8,80.0%,2
,,学习装置	穿透汤匙	讲究眼镜,6,100.0%,2
,,博识眼镜	学习装置	讲究眼镜,2,100.0%,2
,,博识眼镜	能量增幅器	讲究眼镜,0,0.0%,2
,,博识眼镜	讲究眼镜	贝壳之铃,10,100.0%,1
,,博识眼镜	咒术熏香	学习装置,1,100.0%,1
,,能量增幅器	讲究眼镜	贝壳之铃,1,100.0%,1
,,咒术熏香	学习装置	救援屏障,1,100.0%,1
,,咒术熏香	救援屏障	能量增幅器,0,0.0%,1
,,学习装置	能量增幅器	讲究眼镜,0,0.0%,1
7,密勒顿,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,90,4.12%,382,73.6%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,wɨɴ汰,37,84.09%
,,자동전투,35,74.47%
,,れんこmewFox,28,82.35%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充电光束	打雷		逃脱按键,113,71.07%,43
,,闪电猛冲	抛物面充电	逃脱按键,84,73.68%,21
,,闪电猛冲	抛物面充电	伤药	,67,80.72%,9
,,闪电猛冲	抛物面充电	脱壳忍者玩偶,48,78.69%,16
,,闪电猛冲	抛物面充电	万灵药,21,70.0%,10
,,充电光束	打雷		速度强化,19,73.08%,8
,,充电光束	抛物面充电	逃脱按键,17,77.27%,13
,,充电光束	打雷		脱壳忍者玩偶,7,50.0%,5
,,充电光束	打雷		万灵药,2,50.0%,1
,,闪电猛冲	抛物面充电	速度强化,1,100.0%,1
,,闪电猛冲	打雷		逃脱按键,1,100.0%,1
,,充电光束	抛物面充电	万灵药,1,100.0%,1
,,闪电猛冲	抛物面充电	攻击强化,1,100.0%,1
,,闪电猛冲	打雷		脱壳忍者玩偶,0,0.0%,1
,,闪电猛冲	打雷		万灵药,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,125,74.4%,29
,,咒术熏香	穿透汤匙	讲究眼镜,67,75.28%,13
,,博识眼镜	穿透汤匙	进击眼镜,40,80.0%,10
,,博识眼镜	学习装置	讲究眼镜,18,60.0%,7
,,博识眼镜	穿透汤匙	贝壳之铃,44,77.19%,6
,,穿透汤匙	讲究眼镜	进击眼镜,6,75.0%,4
,,穿透汤匙	能量增幅器	贝壳之铃,5,55.56%,3
,,气势头带	穿透汤匙	讲究眼镜,20,80.0%,2
,,博识眼镜	咒术熏香	穿透汤匙,2,50.0%,2
,,博识眼镜	咒术熏香	讲究眼镜,1,50.0%,2
,,博识眼镜	讲究眼镜	贝壳之铃,18,72.0%,1
,,学习装置	穿透汤匙	进击眼镜,10,71.43%,1
,,博识眼镜	学习装置	穿透汤匙,7,70.0%,1
,,咒术熏香	学习装置	讲究眼镜,5,100.0%,1
,,气势头带	穿透汤匙	进击眼镜,3,75.0%,1
,,学习装置	穿透汤匙	讲究眼镜,2,100.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,2,100.0%,1
,,共鸣护盾	博识眼镜	穿透汤匙,2,66.67%,1
,,气势头带	穿透汤匙	贝壳之铃,2,66.67%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,2,66.67%,1
,,咒术熏香	学习装置	穿透汤匙,1,25.0%,1
,,学习装置	能量增幅器	讲究眼镜,0,0.0%,1
8,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,90,3.96%,344,68.94%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,U7龍Roshan,19,73.08%
,,xLancelot.,15,55.56%
,,XD・Champion,14,82.35%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,319,69.2%,83
,,出奇一击	暗影爪	万灵药,16,72.73%,13
,,暗袭要害	居合劈	脱壳忍者玩偶,6,85.71%,2
,,暗袭要害	暗影爪	万灵药,2,50.0%,4
,,出奇一击	居合劈	万灵药,1,100.0%,1
,,出奇一击	居合劈	逃脱按键,0,0.0%,2
,,暗袭要害	居合劈	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,271,69.31%,68
,,弱点保险	猛攻哑铃	锐利之爪,19,73.08%,4
,,气势头带	猛攻哑铃	锐利之爪,9,69.23%,3
,,亿奥斯饼干	弱点保险	猛攻哑铃,3,50.0%,3
,,力量头带	连打围巾	锐利之爪,2,100.0%,2
,,弱点保险	猛攻哑铃	轻石,2,40.0%,2
,,力量头带	猛攻哑铃	连打围巾,14,82.35%,1
,,充能坠饰	弱点保险	锐利之爪,10,76.92%,1
,,充能坠饰	弱点保险	气势头带,4,66.67%,1
,,力量头带	猛攻哑铃	锐利之爪,4,57.14%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,4,50.0%,1
,,学习装置	得分护盾	轻石,1,50.0%,1
,,充能坠饰	气势头带	猛攻哑铃,1,50.0%,1
,,充能坠饰	弱点保险	猛攻哑铃,0,0.0%,1
9,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,110,3.86%,344,70.78%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,GG¤SHØCKwávè,21,65.62%
,,_SIDDHU_,21,63.64%
,,The么Thanos,19,70.37%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,移花接木	大声咆哮	速度强化,114,74.03%,60
,,黑色目光	祈愿		速度强化,90,64.75%,35
,,移花接木	祈愿		速度强化,63,75.0%,34
,,黑色目光	祈愿		伤药	,18,62.07%,4
,,黑色目光	大声咆哮	速度强化,16,72.73%,13
,,移花接木	大声咆哮	逃脱按键,15,75.0%,8
,,移花接木	大声咆哮	伤药	,9,75.0%,3
,,移花接木	祈愿		伤药	,8,80.0%,2
,,黑色目光	祈愿		逃脱按键,7,77.78%,5
,,移花接木	祈愿		逃脱按键,4,80.0%,5
,,黑色目光	大声咆哮	逃脱按键,0,0.0%,1
,,黑色目光	大声咆哮	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	学习装置	气势头带,78,67.24%,29
,,学习装置	气势头带	猛攻哑铃,71,73.2%,26
,,共鸣护盾	学习装置	气势头带,68,68.0%,18
,,亿奥斯饼干	弱点保险	猛攻哑铃,10,76.92%,4
,,弱点保险	气势头带	猛攻哑铃,23,65.71%,3
,,共鸣护盾	学习装置	救援屏障,11,73.33%,3
,,亿奥斯饼干	学习装置	猛攻哑铃,10,83.33%,3
,,学习装置	救援屏障	气势头带,9,90.0%,3
,,力量头带	猛攻哑铃	连打围巾,9,81.82%,3
,,学习装置	气势头带	轻石,7,77.78%,2
,,力量头带	气势头带	猛攻哑铃,3,100.0%,2
,,共鸣护盾	学习装置	猛攻哑铃,1,50.0%,2
,,学习装置	弱点保险	气势头带,0,0.0%,2
,,亿奥斯饼干	共鸣护盾	学习装置,19,70.37%,1
,,咒术手镯	学习装置	气势头带,13,86.67%,1
,,学习装置	猛攻哑铃	连打围巾,3,50.0%,1
,,亿奥斯饼干	学习装置	轻石,2,100.0%,1
,,学习装置	救援屏障	猛攻哑铃,2,66.67%,1
,,力量头带	学习装置	气势头带,2,50.0%,1
,,气势头带	猛攻哑铃	轻石,1,100.0%,1
,,咒术手镯	学习装置	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	咒术手镯	连打围巾,1,100.0%,1
,,咒术手镯	气势头带	猛攻哑铃,0,0.0%,1
10,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,64,3.75%,345,73.09%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,がく1121,48,80.0%
,,昇華(本物),45,68.18%
,,Tіbі,38,82.61%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,227,71.38%,49
,,金属爪	嬉闹		万灵药,40,81.63%,2
,,金属爪	高速移动	逃脱按键,31,79.49%,11
,,圣剑		高速移动	攻击强化,13,86.67%,1
,,金属爪	高速移动	攻击强化,9,90.0%,2
,,圣剑		嬉闹		逃脱按键,7,53.85%,5
,,圣剑		高速移动	万灵药,6,66.67%,8
,,金属爪	嬉闹		逃脱按键,4,80.0%,2
,,圣剑		嬉闹		攻击强化,2,100.0%,1
,,圣剑		嬉闹		万灵药,2,66.67%,1
,,金属爪	高速移动	万灵药,2,50.0%,2
,,金属爪	嬉闹		速度强化,1,100.0%,1
,,金属爪	嬉闹		攻击强化,1,33.33%,1
,,圣剑		高速移动	伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	腐朽的剑	锐利之爪,185,73.12%,28
,,猛攻哑铃	腐朽的剑	锐利之爪,37,71.15%,14
,,焦点镜	腐朽的剑	锐利之爪,19,76.0%,7
,,力量头带	猛攻哑铃	腐朽的剑,5,71.43%,4
,,力量头带	腐朽的剑	连打围巾,74,77.89%,3
,,力量头带	焦点镜	腐朽的剑,14,58.33%,3
,,力量头带	弱点保险	腐朽的剑,4,80.0%,1
,,学习装置	腐朽的剑	锐利之爪,3,50.0%,1
,,腐朽的剑	连打围巾	锐利之爪,2,100.0%,1
,,力量头带	咒术手镯	腐朽的剑,2,100.0%,1
,,力量头带	气势头带	腐朽的剑,0,0.0%,1
11,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,57,3.35%,306,72.51%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Depelíkule,69,75.0%
,,뭐든지다잘함,65,80.25%
,,わんキチ,25,60.98%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,追打		精神利刃	攻击强化,88,77.19%,16
,,追打		突袭		伤药	,69,75.0%,1
,,追打		精神利刃	逃脱按键,60,71.43%,14
,,追打		精神利刃	速度强化,26,61.9%,2
,,追打		突袭		万灵药,20,74.07%,6
,,追打		突袭		逃脱按键,15,65.22%,12
,,暗袭要害	精神利刃	逃脱按键,8,72.73%,2
,,追打		精神利刃	万灵药,7,58.33%,6
,,追打		突袭		攻击强化,4,66.67%,2
,,暗袭要害	精神利刃	攻击强化,3,100.0%,3
,,暗袭要害	精神利刃	万灵药,2,66.67%,1
,,追打		精神利刃	得分加速装置,1,100.0%,1
,,暗袭要害	精神利刃	速度强化,1,100.0%,1
,,追打		突袭		速度强化,1,100.0%,1
,,追打		精神利刃	向尾喵的尾巴,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,焦点镜	猛攻哑铃	锐利之爪,62,67.39%,20
,,焦点镜	能量增幅器	锐利之爪,106,75.18%,14
,,充能坠饰	焦点镜	锐利之爪,37,68.52%,10
,,气势头带	焦点镜	锐利之爪,21,77.78%,6
,,力量头带	焦点镜	锐利之爪,6,66.67%,2
,,气势头带	焦点镜	猛攻哑铃,69,75.0%,1
,,弱点保险	焦点镜	锐利之爪,4,100.0%,1
,,充能坠饰	猛攻哑铃	锐利之爪,1,100.0%,1
,,充能坠饰	焦点镜	能量增幅器,0,0.0%,1
,,共鸣护盾	焦点镜	锐利之爪,0,0.0%,1
12,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,79,3.28%,318,77.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,RSURA00,37,77.08%
,,TBZㅤDIASx,26,76.47%
,,_sevi,26,70.27%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞水手里剑	影子分身	攻击强化,92,80.0%,18
,,冲浪		烟幕		攻击强化,73,77.66%,22
,,冲浪		影子分身	攻击强化,61,73.49%,20
,,飞水手里剑	影子分身	逃脱按键,34,82.93%,16
,,冲浪		烟幕		万灵药,21,72.41%,3
,,冲浪		影子分身	逃脱按键,20,68.97%,7
,,冲浪		烟幕		逃脱按键,7,70.0%,7
,,飞水手里剑	影子分身	万灵药,4,66.67%,5
,,飞水手里剑	影子分身	速度强化,3,100.0%,1
,,飞水手里剑	烟幕		攻击强化,2,100.0%,2
,,冲浪		影子分身	万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	猛攻哑铃,147,76.17%,27
,,力量头带	猛攻哑铃	连打围巾,60,78.95%,20
,,力量头带	焦点镜	连打围巾,45,71.43%,10
,,力量头带	咒术手镯	猛攻哑铃,13,86.67%,6
,,充能坠饰	力量头带	猛攻哑铃,12,92.31%,4
,,力量头带	猛攻哑铃	能量增幅器,1,33.33%,2
,,力量头带	气势头带	猛攻哑铃,26,76.47%,1
,,充能坠饰	力量头带	咒术手镯,4,100.0%,1
,,充能坠饰	力量头带	连打围巾,3,60.0%,1
,,弱点保险	焦点镜	猛攻哑铃,1,100.0%,1
,,力量头带	咒术手镯	能量增幅器,1,100.0%,1
,,力量头带	连打围巾	锐利之爪,1,100.0%,1
,,力量头带	咒术手镯	连打围巾,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	咒术手镯	锐利之爪,1,100.0%,1
13,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,87,3.08%,256,65.98%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,りふめろ,51,62.2%
,,N'shiro_,16,80.0%
,,Vlacan・YT,14,82.35%
