,一共游戏场数,10436
1,阿勃梭鲁,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,充能坠饰	焦点镜	猛攻哑铃,1,100.0%,1
,,充能坠饰	猛攻哑铃	锐利之爪,0,0.0%,1
,,力量头带	焦点镜	猛攻哑铃,0,0.0%,1
2,烈箭鹰,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,134,14.87%,1149,74.03%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,TPDing,65,82.28%
,,ßlackŁotus,58,71.6%
,,ʜappy,57,68.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,蓄能焰袭	飞翔		逃脱按键,546,74.08%,88
,,燕返		勇鸟猛攻	逃脱按键,237,77.7%,47
,,蓄能焰袭	飞翔		得分加速装置,117,71.78%,11
,,燕返		勇鸟猛攻	攻击强化,80,79.21%,8
,,蓄能焰袭	飞翔		攻击强化,60,69.77%,5
,,蓄能焰袭	飞翔		速度强化,27,58.7%,4
,,蓄能焰袭	飞翔		伤药	,24,80.0%,1
,,燕返		飞翔		逃脱按键,23,65.71%,8
,,燕返		勇鸟猛攻	万灵药,20,76.92%,5
,,燕返		勇鸟猛攻	伤药	,6,75.0%,1
,,燕返		勇鸟猛攻	得分加速装置,1,100.0%,1
,,蓄能焰袭	勇鸟猛攻	逃脱按键,1,100.0%,1
,,蓄能焰袭	勇鸟猛攻	攻击强化,1,100.0%,1
,,燕返		飞翔		得分加速装置,1,100.0%,1
,,燕返		飞翔		速度强化,1,100.0%,1
,,燕返		勇鸟猛攻	速度强化,1,100.0%,1
,,蓄能焰袭	飞翔		向尾喵的尾巴,1,50.0%,2
,,燕返		飞翔		向尾喵的尾巴,1,50.0%,2
,,蓄能焰袭	飞翔		万灵药,1,50.0%,2
,,燕返		飞翔		万灵药,0,0.0%,1
,,蓄能焰袭	勇鸟猛攻	得分加速装置,0,0.0%,1
,,蓄能焰袭	勇鸟猛攻	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,充能坠饰	猛攻哑铃	锐利之爪,702,75.0%,79
,,猛攻哑铃	轻石	锐利之爪,154,72.64%,18
,,充能坠饰	猛攻哑铃	轻石,93,65.96%,15
,,力量头带	猛攻哑铃	锐利之爪,34,75.56%,5
,,得分护盾	猛攻哑铃	轻石,15,62.5%,2
,,焦点镜	猛攻哑铃	锐利之爪,12,75.0%,2
,,焦点镜	能量增幅器	锐利之爪,65,82.28%,1
,,气势头带	猛攻哑铃	锐利之爪,29,87.88%,1
,,亿奥斯饼干	充能坠饰	锐利之爪,17,80.95%,1
,,充能坠饰	轻石	锐利之爪,8,57.14%,1
,,得分护盾	救援屏障	轻石,7,63.64%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,6,75.0%,1
,,充能坠饰	力量头带	锐利之爪,3,100.0%,1
,,得分护盾	猛攻哑铃	锐利之爪,2,50.0%,1
,,气势头带	猛攻哑铃	轻石,1,100.0%,1
,,学习装置	救援屏障	气势头带,1,100.0%,1
,,得分护盾	气势头带	猛攻哑铃,0,0.0%,1
,,充能坠饰	焦点镜	轻石,0,0.0%,1
,,力量头带	焦点镜	猛攻哑铃,0,0.0%,1
3,魔幻假面喵,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,92,13.08%,1037,75.97%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,OXSSSMVP!,80,72.73%
,,Ķai,57,85.07%
,,絶/ze2,57,79.17%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,千变万花	影子分身	逃脱按键,554,77.37%,57
,,暗袭要害	起草		逃脱按键,171,72.15%,39
,,暗袭要害	起草		攻击强化,93,73.81%,6
,,暗袭要害	起草		脱壳忍者玩偶,69,75.82%,5
,,暗袭要害	起草		万灵药,58,77.33%,9
,,千变万花	影子分身	伤药	,27,81.82%,2
,,千变万花	影子分身	攻击强化,26,78.79%,6
,,千变万花	影子分身	脱壳忍者玩偶,19,82.61%,2
,,千变万花	起草		逃脱按键,7,53.85%,5
,,千变万花	起草		伤药	,6,66.67%,1
,,千变万花	影子分身	万灵药,2,100.0%,2
,,千变万花	影子分身	向尾喵的尾巴,2,100.0%,1
,,暗袭要害	影子分身	逃脱按键,1,100.0%,1
,,暗袭要害	影子分身	伤药	,1,100.0%,1
,,暗袭要害	起草		得分加速装置,1,100.0%,1
,,暗袭要害	起草		向尾喵的尾巴,0,0.0%,1
,,暗袭要害	影子分身	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,369,78.51%,27
,,力量头带	焦点镜	锐利之爪,120,75.47%,9
,,焦点镜	猛攻哑铃	锐利之爪,87,73.11%,9
,,力量头带	猛攻哑铃	锐利之爪,87,71.31%,9
,,充能坠饰	猛攻哑铃	能量增幅器,103,78.63%,8
,,充能坠饰	猛攻哑铃	锐利之爪,89,75.42%,8
,,弱点保险	猛攻哑铃	锐利之爪,30,81.08%,6
,,力量头带	焦点镜	猛攻哑铃,36,73.47%,3
,,焦点镜	猛攻哑铃	连打围巾,4,66.67%,2
,,焦点镜	猛攻哑铃	能量增幅器,3,100.0%,2
,,弱点保险	焦点镜	锐利之爪,80,72.73%,1
,,力量头带	弱点保险	锐利之爪,11,78.57%,1
,,弱点保险	猛攻哑铃	能量增幅器,7,63.64%,1
,,焦点镜	轻石	锐利之爪,4,66.67%,1
,,焦点镜	连打围巾	锐利之爪,2,66.67%,1
,,猛攻哑铃	能量增幅器	轻石,2,50.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,100.0%,1
,,亿奥斯饼干	治愈王冠	锐利之爪,1,100.0%,1
,,充能坠饰	焦点镜	猛攻哑铃,1,100.0%,1
4,耿鬼,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,91,10.21%,803,75.4%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ひげあんこ,100,74.63%
,,supreme_Red,56,74.67%
,,mingnian,36,76.6%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影球	食梦		逃脱按键,271,72.07%,42
,,污泥炸弹	祸不单行	万灵药,150,79.79%,34
,,暗影球	食梦		万灵药,133,76.88%,28
,,暗影球	食梦		速度强化,106,78.52%,9
,,污泥炸弹	祸不单行	攻击强化,105,74.47%,5
,,暗影球	食梦		攻击强化,14,77.78%,2
,,污泥炸弹	祸不单行	逃脱按键,12,70.59%,7
,,暗影球	食梦		脱壳忍者玩偶,6,66.67%,1
,,污泥炸弹	祸不单行	得分加速装置,3,100.0%,1
,,污泥炸弹	食梦		逃脱按键,2,100.0%,2
,,暗影球	祸不单行	万灵药,1,33.33%,3
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,穿透汤匙	讲究眼镜	进击眼镜,303,78.5%,37
,,博识眼镜	穿透汤匙	讲究眼镜,182,71.09%,19
,,博识眼镜	讲究眼镜	进击眼镜,111,74.0%,11
,,博识眼镜	穿透汤匙	进击眼镜,43,76.79%,4
,,博识眼镜	讲究眼镜	贝壳之铃,103,75.18%,3
,,博识眼镜	穿透汤匙	贝壳之铃,15,88.24%,3
,,博识眼镜	穿透汤匙	能量增幅器,12,75.0%,3
,,博识眼镜	贝壳之铃	进击眼镜,11,57.89%,3
,,穿透汤匙	贝壳之铃	进击眼镜,11,91.67%,2
,,得分护盾	穿透汤匙	进击眼镜,7,77.78%,1
,,讲究眼镜	贝壳之铃	进击眼镜,3,100.0%,1
,,得分护盾	穿透汤匙	贝壳之铃,1,100.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,1,100.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,0,0.0%,1
,,能量增幅器	贝壳之铃	进击眼镜,0,0.0%,1
5,卡比兽,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,95,9.84%,767,74.68%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Depelíkule,69,70.41%
,,DumbVesna,61,74.39%
,,鑑真大和上,55,83.33%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,重磅冲撞	挡路		逃脱按键,164,75.58%,31
,,抓狂		挡路		伤药	,162,75.35%,13
,,重磅冲撞	挡路		速度强化,149,74.5%,31
,,抓狂		挡路		速度强化,109,70.32%,21
,,重磅冲撞	哈欠		逃脱按键,57,73.08%,23
,,抓狂		挡路		万灵药,43,82.69%,1
,,抓狂		挡路		逃脱按键,23,71.88%,5
,,抓狂		哈欠		伤药	,18,78.26%,4
,,重磅冲撞	挡路		伤药	,18,75.0%,4
,,重磅冲撞	哈欠		速度强化,14,73.68%,6
,,抓狂		哈欠		速度强化,3,75.0%,3
,,重磅冲撞	哈欠		伤药	,2,100.0%,2
,,抓狂		挡路		攻击强化,2,66.67%,3
,,重磅冲撞	挡路		万灵药,1,100.0%,1
,,抓狂		哈欠		逃脱按键,1,100.0%,1
,,抓狂		哈欠		万灵药,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	气势头带,285,75.8%,36
,,共鸣护盾	学习装置	气势头带,63,71.59%,10
,,力量头带	气势头带	连打围巾,69,73.4%,6
,,学习装置	气势头带	轻石,7,70.0%,6
,,亿奥斯饼干	治愈王冠	连打围巾,108,78.83%,4
,,亿奥斯饼干	力量头带	连打围巾,30,68.18%,4
,,亿奥斯饼干	力量头带	气势头带,13,76.47%,3
,,共鸣护盾	学习装置	救援屏障,7,77.78%,3
,,学习装置	气势头带	连打围巾,4,66.67%,3
,,吃剩的东西	学习装置	气势头带,7,77.78%,2
,,亿奥斯饼干	学习装置	气势头带,3,75.0%,2
,,力量头带	治愈王冠	连打围巾,69,70.41%,1
,,气势头带	治愈王冠	连打围巾,61,74.39%,1
,,亿奥斯饼干	焦点镜	连打围巾,14,100.0%,1
,,力量头带	救援屏障	连打围巾,8,72.73%,1
,,治愈王冠	焦点镜	连打围巾,7,77.78%,1
,,亿奥斯饼干	气势头带	连打围巾,3,100.0%,1
,,凸凸头盔	救援屏障	气势头带,2,100.0%,1
,,亿奥斯饼干	猛攻哑铃	连打围巾,2,66.67%,1
,,亿奥斯饼干	力量头带	得分护盾,2,66.67%,1
,,力量头带	学习装置	连打围巾,1,100.0%,1
,,共鸣护盾	力量头带	学习装置,1,100.0%,1
,,力量头带	焦点镜	连打围巾,1,100.0%,1
,,气势头带	猛攻哑铃	连打围巾,0,0.0%,1
,,共鸣护盾	气势头带	猛攻哑铃,0,0.0%,1
,,力量头带	气势头带	焦点镜,0,0.0%,1
,,吃剩的东西	救援屏障	气势头带,0,0.0%,1
6,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,66,4.4%,342,74.51%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Prince_Ryoma,69,71.13%
,,はいふー,64,80.0%
,,KiD66,27,81.82%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		高速移动	逃脱按键,235,73.9%,39
,,圣剑		高速移动	万灵药,77,81.91%,16
,,圣剑		嬉闹		逃脱按键,10,52.63%,6
,,圣剑		高速移动	攻击强化,6,85.71%,4
,,金属爪	嬉闹		逃脱按键,4,80.0%,4
,,金属爪	高速移动	攻击强化,3,100.0%,2
,,金属爪	高速移动	万灵药,3,50.0%,5
,,金属爪	高速移动	逃脱按键,2,100.0%,2
,,圣剑		嬉闹		攻击强化,1,100.0%,1
,,圣剑		嬉闹		万灵药,1,50.0%,2
,,金属爪	嬉闹		万灵药,0,0.0%,1
,,金属爪	嬉闹		攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	腐朽的剑	锐利之爪,322,76.48%,48
,,猛攻哑铃	腐朽的剑	锐利之爪,5,71.43%,5
,,力量头带	焦点镜	腐朽的剑,2,33.33%,3
,,焦点镜	腐朽的剑	锐利之爪,1,33.33%,3
,,力量头带	猛攻哑铃	腐朽的剑,6,60.0%,2
,,咒术手镯	腐朽的剑	连打围巾,3,42.86%,1
,,力量头带	腐朽的剑	连打围巾,2,100.0%,1
,,力量头带	气势头带	腐朽的剑,1,100.0%,1
,,充能坠饰	力量头带	腐朽的剑,0,0.0%,1
,,力量头带	弱点保险	腐朽的剑,0,0.0%,1
7,坚盾剑怪,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,99,3.93%,287,70.0%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,xSATIVOMANx,27,65.85%
,,</>メмɪтнʀɪʟ,26,83.87%
,,KaKauSHOW,23,79.31%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,圣剑		广域防守	伤药	,114,71.7%,37
,,圣剑		广域防守	万灵药,109,75.17%,41
,,圣剑		广域防守	速度强化,26,65.0%,2
,,暗影爪	广域防守	万灵药,10,62.5%,6
,,暗影爪	广域防守	伤药	,10,62.5%,7
,,暗影爪	广域防守	逃脱按键,6,85.71%,5
,,圣剑		广域防守	逃脱按键,5,45.45%,6
,,暗影爪	铁头		伤药	,2,50.0%,4
,,圣剑		广域防守	脱壳忍者玩偶,2,40.0%,4
,,暗影爪	广域防守	攻击强化,1,100.0%,1
,,暗影爪	铁头		攻击强化,1,100.0%,1
,,暗影爪	广域防守	速度强化,1,100.0%,1
,,暗影爪	广域防守	脱壳忍者玩偶,0,0.0%,2
,,暗影爪	铁头		万灵药,0,0.0%,1
,,暗影爪	铁头		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	气势头带	锐利之爪,63,74.12%,23
,,力量头带	弱点保险	锐利之爪,50,69.44%,19
,,力量头带	弱点保险	气势头带,15,57.69%,14
,,弱点保险	气势头带	锐利之爪,40,78.43%,9
,,弱点保险	猛攻哑铃	锐利之爪,40,65.57%,7
,,弱点保险	气势头带	猛攻哑铃,12,70.59%,7
,,力量头带	弱点保险	猛攻哑铃,31,75.61%,5
,,气势头带	猛攻哑铃	锐利之爪,9,47.37%,5
,,亿奥斯饼干	弱点保险	猛攻哑铃,2,50.0%,3
,,力量头带	猛攻哑铃	锐利之爪,5,50.0%,2
,,力量头带	焦点镜	锐利之爪,16,88.89%,1
,,焦点镜	猛攻哑铃	锐利之爪,2,100.0%,1
,,凸凸头盔	突击背心	能量增幅器,1,100.0%,1
,,凸凸头盔	力量头带	气势头带,1,50.0%,1
,,咒术手镯	学习装置	气势头带,0,0.0%,1
8,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,82,3.07%,236,73.75%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,しめさば戦士,45,78.95%
,,やまた88,25,89.29%
,,ɖʍ.ʟonɛwoʟʄ,13,76.47%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,移花接木	大声咆哮	速度强化,90,76.92%,34
,,黑色目光	祈愿		速度强化,51,71.83%,24
,,移花接木	祈愿		速度强化,37,78.72%,17
,,黑色目光	祈愿		伤药	,16,72.73%,5
,,黑色目光	大声咆哮	速度强化,11,61.11%,14
,,移花接木	大声咆哮	逃脱按键,9,75.0%,8
,,黑色目光	祈愿		逃脱按键,6,75.0%,5
,,黑色目光	大声咆哮	逃脱按键,6,66.67%,4
,,移花接木	祈愿		逃脱按键,5,83.33%,3
,,黑色目光	大声咆哮	伤药	,2,100.0%,1
,,移花接木	祈愿		伤药	,2,66.67%,2
,,移花接木	大声咆哮	伤药	,1,25.0%,2
,,移花接木	祈愿		迟缓烟雾,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	学习装置	气势头带,31,73.81%,16
,,共鸣护盾	学习装置	气势头带,62,80.52%,12
,,学习装置	救援屏障	气势头带,64,78.05%,10
,,学习装置	气势头带	猛攻哑铃,10,55.56%,8
,,共鸣护盾	学习装置	救援屏障,13,59.09%,7
,,学习装置	救援屏障	猛攻哑铃,15,88.24%,5
,,亿奥斯饼干	学习装置	猛攻哑铃,7,63.64%,4
,,共鸣护盾	学习装置	猛攻哑铃,3,50.0%,3
,,亿奥斯饼干	共鸣护盾	猛攻哑铃,2,100.0%,2
,,咒术手镯	学习装置	气势头带,2,66.67%,2
,,学习装置	气势头带	突击背心,2,40.0%,2
,,学习装置	气势头带	轻石,9,90.0%,1
,,学习装置	猛攻哑铃	轻石,5,71.43%,1
,,吃剩的东西	学习装置	气势头带,2,100.0%,1
,,亿奥斯饼干	得分护盾	气势头带,2,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,2,50.0%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
,,亿奥斯饼干	共鸣护盾	救援屏障,1,50.0%,1
,,亿奥斯饼干	学习装置	救援屏障,1,50.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,33.33%,1
,,亿奥斯饼干	共鸣护盾	学习装置,0,0.0%,1
9,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,67,2.74%,213,74.48%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Natsuuッ,21,87.5%
,,BIG_むむ太郎,20,71.43%
,,GaticoPe,14,82.35%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,98,69.5%,40
,,帮助		神秘守护	速度强化,87,80.56%,31
,,帮助		神秘守护	伤药	,14,82.35%,1
,,帮助		神秘守护	逃脱按键,5,62.5%,2
,,炸蛋		生蛋		逃脱按键,2,100.0%,2
,,帮助		神秘守护	得分区控制器,2,100.0%,1
,,炸蛋		生蛋		万灵药,2,100.0%,2
,,帮助		生蛋		速度强化,1,100.0%,1
,,炸蛋		神秘守护	速度强化,1,100.0%,1
,,帮助		神秘守护	迟缓烟雾,1,33.33%,1
,,炸蛋		生蛋		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	进击眼镜,41,67.21%,19
,,学习装置	救援屏障	能量增幅器,33,75.0%,12
,,学习装置	救援屏障	气势头带,53,74.65%,11
,,学习装置	援助头巾	救援屏障,21,72.41%,5
,,学习装置	援助头巾	进击眼镜,5,71.43%,5
,,吃剩的东西	学习装置	救援屏障,18,81.82%,2
,,学习装置	能量增幅器	进击眼镜,2,100.0%,2
,,博识眼镜	学习装置	进击眼镜,14,70.0%,1
,,学习装置	气势头带	能量增幅器,13,86.67%,1
,,博识眼镜	学习装置	气势头带,2,100.0%,1
,,博识眼镜	学习装置	救援屏障,2,100.0%,1
,,学习装置	援助头巾	能量增幅器,2,66.67%,1
,,援助头巾	救援屏障	能量增幅器,2,66.67%,1
,,共鸣护盾	学习装置	救援屏障,1,100.0%,1
,,学习装置	气势头带	进击眼镜,1,100.0%,1
,,亿奥斯饼干	讲究眼镜	进击眼镜,1,100.0%,1
,,共鸣护盾	学习装置	气势头带,1,100.0%,1
,,援助头巾	突击背心	轻石,1,100.0%,1
10,千面避役,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,83,2.52%,189,71.86%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Ĵ£ŁØŞĄツ,9,100.0%
,,BC_Zeras,9,60.0%
,,HundöLiciou$,8,66.67%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,致命针刺	狙击		逃脱按键,151,72.6%,73
,,杂技		水流裂破	逃脱按键,22,68.75%,18
,,致命针刺	水流裂破	速度强化,8,66.67%,1
,,致命针刺	水流裂破	逃脱按键,7,77.78%,8
,,杂技		水流裂破	万灵药,1,100.0%,1
,,杂技		狙击		逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	讲究眼镜,179,72.18%,79
,,博识眼镜	讲究眼镜	贝壳之铃,8,66.67%,1
,,博识眼镜	能量增幅器	讲究眼镜,1,100.0%,1
,,博识眼镜	咒术熏香	穿透汤匙,1,100.0%,1
,,咒术熏香	穿透汤匙	讲究眼镜,0,0.0%,1
11,甲贺忍蛙,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,85,2.35%,187,76.33%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,はいふー,25,73.53%
,,Mendon'tCry,11,100.0%
,,れおなくん,11,78.57%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,冲浪		影子分身	攻击强化,48,81.36%,21
,,飞水手里剑	影子分身	逃脱按键,44,73.33%,29
,,冲浪		影子分身	逃脱按键,29,80.56%,9
,,飞水手里剑	影子分身	攻击强化,26,76.47%,12
,,冲浪		烟幕		攻击强化,15,75.0%,15
,,冲浪		烟幕		逃脱按键,8,88.89%,8
,,飞水手里剑	影子分身	万灵药,6,75.0%,5
,,飞水手里剑	影子分身	速度强化,4,57.14%,4
,,冲浪		烟幕		万灵药,3,75.0%,2
,,冲浪		影子分身	万灵药,2,33.33%,2
,,飞水手里剑	烟幕		伤药	,1,100.0%,1
,,飞水手里剑	烟幕		逃脱按键,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	焦点镜	猛攻哑铃,65,80.25%,33
,,力量头带	猛攻哑铃	连打围巾,28,66.67%,22
,,力量头带	焦点镜	连打围巾,18,78.26%,7
,,充能坠饰	力量头带	焦点镜,7,63.64%,3
,,力量头带	咒术手镯	猛攻哑铃,5,55.56%,3
,,充能坠饰	力量头带	连打围巾,4,80.0%,2
,,力量头带	咒术手镯	焦点镜,3,75.0%,2
,,力量头带	焦点镜	锐利之爪,2,100.0%,2
,,力量头带	弱点保险	猛攻哑铃,25,73.53%,1
,,力量头带	能量增幅器	连打围巾,10,100.0%,1
,,力量头带	咒术手镯	连打围巾,5,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,5,83.33%,1
,,力量头带	咒术手镯	锐利之爪,4,80.0%,1
,,力量头带	猛攻哑铃	能量增幅器,2,66.67%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,1,100.0%,1
,,焦点镜	猛攻哑铃	连打围巾,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	连打围巾,1,100.0%,1
,,力量头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,力量头带	咒术手镯	轻石,0,0.0%,1
12,花疗环环,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,38,2.06%,155,72.09%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,君に惚れた華,52,68.42%
,,다감다감,36,73.47%
,,Ribeen,21,87.5%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,花疗		打草结	迟缓烟雾,132,73.33%,25
,,花疗		魔法叶	迟缓烟雾,19,65.52%,14
,,天使之吻	魔法叶	迟缓烟雾,2,66.67%,2
,,天使之吻	打草结	迟缓烟雾,1,100.0%,1
,,花疗		打草结	攻击强化,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	援助头巾	救援屏障,135,73.37%,20
,,学习装置	救援屏障	进击眼镜,6,100.0%,3
,,博识眼镜	学习装置	进击眼镜,1,25.0%,3
,,博识眼镜	学习装置	救援屏障,1,50.0%,2
,,博识眼镜	学习装置	援助头巾,1,50.0%,2
,,博识眼镜	学习装置	讲究眼镜,5,83.33%,1
,,援助头巾	救援屏障	能量增幅器,2,100.0%,1
,,共鸣护盾	学习装置	进击眼镜,2,66.67%,1
,,力量头带	学习装置	救援屏障,1,100.0%,1
,,共鸣护盾	博识眼镜	学习装置,1,100.0%,1
,,学习装置	援助头巾	进击眼镜,0,0.0%,1
,,咒术熏香	学习装置	救援屏障,0,0.0%,1
,,共鸣护盾	学习装置	救援屏障,0,0.0%,1
13,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,68,1.99%,136,65.38%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ひーらぎ・柊,12,70.59%
,,おうちゃま*,7,100.0%
,,耄碌,7,87.5%
