,一共游戏场数,10365
1,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,力量头带	气势头带	猛攻哑铃,6,100.0%,2
,,亿奥斯饼干	气势头带	猛攻哑铃,6,60.0%,2
,,充能坠饰	气势头带	猛攻哑铃,3,100.0%,2
,,亿奥斯饼干	弱点保险	猛攻哑铃,2,66.67%,2
,,充能坠饰	气势头带	锐利之爪,6,75.0%,1
,,充能坠饰	弱点保险	猛攻哑铃,5,62.5%,1
,,共鸣护盾	弱点保险	猛攻哑铃,1,100.0%,1
,,弱点保险	气势头带	轻石,1,33.33%,1
,,焦点镜	轻石	锐利之爪,0,0.0%,1
,,猛攻哑铃	轻石	锐利之爪,0,0.0%,1
12,仙子伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,101,3.26%,229,67.75%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Necr0zite,35,87.5%
,,dapper_Dan,16,66.67%
,,えねっこ?,12,100.0%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,巨声		冥想		速度强化,85,72.03%,45
,,魔法火焰	吸取之吻	速度强化,57,61.29%,46
,,巨声		冥想		逃脱按键,43,82.69%,11
,,魔法火焰	吸取之吻	逃脱按键,31,58.49%,17
,,魔法火焰	吸取之吻	伤药	,11,61.11%,8
,,巨声		吸取之吻	逃脱按键,1,100.0%,1
,,巨声		冥想		脱壳忍者玩偶,1,100.0%,1
,,魔法火焰	冥想		逃脱按键,0,0.0%,1
,,巨声		冥想		伤药	,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	咒术熏香	讲究眼镜,41,67.21%,14
,,咒术熏香	穿透汤匙	讲究眼镜,49,85.96%,12
,,博识眼镜	咒术熏香	穿透汤匙,20,71.43%,9
,,咒术熏香	气势头带	穿透汤匙,17,85.0%,7
,,气势头带	穿透汤匙	讲究眼镜,8,33.33%,7
,,博识眼镜	穿透汤匙	讲究眼镜,8,100.0%,5
,,力量头带	穿透汤匙	讲究眼镜,5,45.45%,5
,,共鸣护盾	力量头带	穿透汤匙,10,66.67%,4
,,力量头带	气势头带	穿透汤匙,4,66.67%,3
,,共鸣护盾	气势头带	穿透汤匙,4,44.44%,3
,,穿透汤匙	能量增幅器	讲究眼镜,10,58.82%,2
,,穿透汤匙	讲究眼镜	进击眼镜,7,87.5%,2
,,咒术熏香	救援屏障	气势头带,4,80.0%,2
,,咒术熏香	穿透汤匙	贝壳之铃,2,66.67%,2
,,亿奥斯饼干	穿透汤匙	进击眼镜,2,50.0%,2
,,咒术熏香	气势头带	讲究眼镜,2,40.0%,2
,,能量增幅器	讲究眼镜	进击眼镜,8,80.0%,1
,,博识眼镜	讲究眼镜	进击眼镜,5,83.33%,1
,,力量头带	穿透汤匙	连打围巾,4,57.14%,1
,,博识眼镜	穿透汤匙	贝壳之铃,3,75.0%,1
,,共鸣护盾	博识眼镜	讲究眼镜,3,60.0%,1
,,咒术熏香	讲究眼镜	进击眼镜,3,60.0%,1
,,博识眼镜	贝壳之铃	进击眼镜,2,100.0%,1
,,咒术熏香	讲究眼镜	贝壳之铃,1,100.0%,1
,,力量头带	气势头带	连打围巾,1,100.0%,1
,,博识眼镜	气势头带	讲究眼镜,1,100.0%,1
,,穿透汤匙	讲究眼镜	贝壳之铃,1,100.0%,1
,,博识眼镜	能量增幅器	进击眼镜,1,50.0%,1
,,共鸣护盾	博识眼镜	穿透汤匙,1,50.0%,1
,,力量头带	咒术熏香	气势头带,1,50.0%,1
,,博识眼镜	咒术熏香	进击眼镜,1,50.0%,1
,,共鸣护盾	穿透汤匙	讲究眼镜,0,0.0%,1
,,共鸣护盾	咒术熏香	穿透汤匙,0,0.0%,1
,,博识眼镜	咒术熏香	气势头带,0,0.0%,1
,,博识眼镜	气势头带	进击眼镜,0,0.0%,1
,,博识眼镜	气势头带	穿透汤匙,0,0.0%,1
12,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,76,3.26%,238,70.41%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ĀLPHA,22,73.33%
,,FS・Anemo,20,80.0%
,,ELPINTACARAS,20,74.07%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		剑舞		万灵药,129,72.47%,46
,,双翼		二连击	万灵药,61,67.78%,20
,,子弹拳	剑舞		万灵药,29,76.32%,8
,,子弹拳	剑舞		伤药	,6,54.55%,3
,,子弹拳	二连击	万灵药,4,100.0%,3
,,子弹拳	剑舞		逃脱按键,4,80.0%,3
,,子弹拳	二连击	伤药	,1,100.0%,1
,,子弹拳	剑舞		攻击强化,1,100.0%,1
,,双翼		剑舞		攻击强化,1,50.0%,1
,,子弹拳	二连击	速度强化,1,50.0%,1
,,双翼		二连击	逃脱按键,1,33.33%,3
,,双翼		剑舞		伤药	,0,0.0%,1
,,双翼		剑舞		逃脱按键,0,0.0%,1
,,子弹拳	剑舞		速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,55,71.43%,18
,,猛攻哑铃	能量增幅器	锐利之爪,67,77.01%,14
,,力量头带	能量增幅器	锐利之爪,18,58.06%,13
,,弱点保险	猛攻哑铃	锐利之爪,9,47.37%,7
,,力量头带	弱点保险	猛攻哑铃,10,66.67%,5
,,力量头带	弱点保险	锐利之爪,25,78.12%,2
,,弱点保险	能量增幅器	锐利之爪,20,76.92%,2
,,气势头带	猛攻哑铃	锐利之爪,4,80.0%,2
,,弱点保险	气势头带	锐利之爪,3,100.0%,2
,,共鸣护盾	弱点保险	锐利之爪,1,50.0%,2
,,充能坠饰	猛攻哑铃	锐利之爪,16,61.54%,1
,,力量头带	猛攻哑铃	能量增幅器,3,75.0%,1
,,气势头带	能量增幅器	锐利之爪,2,66.67%,1
,,焦点镜	猛攻哑铃	能量增幅器,2,66.67%,1
,,气势头带	猛攻哑铃	能量增幅器,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	猛攻哑铃	能量增幅器,1,100.0%,1
,,弱点保险	气势头带	治愈王冠,0,0.0%,1
,,力量头带	弱点保险	能量增幅器,0,0.0%,1
14,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,54,3.13%,225,69.44%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Mijyü,50,75.76%
,,技外し全一,23,85.19%
,,Spaŕky,20,58.82%
