,一共游戏场数,11327
1,可达鸭,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,亿奥斯饼干	学习装置	气势头带,0,0.0%,1
,,博识眼镜	咒术熏香	讲究眼镜,0,0.0%,1
,,穿透汤匙	能量增幅器	进击眼镜,0,0.0%,1
3,甜冷美后,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,103,9.25%,817,77.96%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Furisyo,71,72.45%
,,햄킹승화찬,68,89.47%
,,F>Shinji,62,74.7%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三旋击	热带踢	攻击强化,190,76.92%,24
,,三旋击	青草滑梯	攻击强化,169,85.35%,23
,,三旋击	青草滑梯	万灵药,135,76.7%,37
,,三旋击	热带踢	万灵药,114,71.7%,30
,,踩踏		热带踢	万灵药,65,82.28%,26
,,踩踏		青草滑梯	万灵药,51,80.95%,22
,,踩踏		青草滑梯	攻击强化,43,79.63%,19
,,踩踏		热带踢	攻击强化,35,70.0%,24
,,三旋击	热带踢	速度强化,9,64.29%,2
,,三旋击	青草滑梯	逃脱按键,3,100.0%,1
,,三旋击	热带踢	逃脱按键,2,50.0%,2
,,三旋击	青草滑梯	得分加速装置,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,533,78.27%,77
,,弱点保险	猛攻哑铃	锐利之爪,152,81.72%,8
,,力量头带	弱点保险	猛攻哑铃,26,86.67%,7
,,亿奥斯饼干	弱点保险	猛攻哑铃,74,70.48%,5
,,力量头带	气势头带	猛攻哑铃,16,72.73%,2
,,力量头带	猛攻哑铃	锐利之爪,11,61.11%,1
,,凸凸头盔	弱点保险	猛攻哑铃,2,100.0%,1
,,弱点保险	猛攻哑铃	连打围巾,2,66.67%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
4,苍响,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,107,8.02%,683,75.22%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ちゃま!,95,80.51%
,,夢の跡地,52,83.87%
,,Lūv,36,69.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,金属爪	高速移动	万灵药,353,76.24%,66
,,金属爪	嬉闹		万灵药,199,77.13%,23
,,金属爪	高速移动	逃脱按键,79,68.7%,23
,,金属爪	嬉闹		攻击强化,23,88.46%,1
,,圣剑		高速移动	逃脱按键,9,64.29%,10
,,金属爪	嬉闹		逃脱按键,9,56.25%,7
,,圣剑		高速移动	万灵药,6,75.0%,8
,,金属爪	高速移动	攻击强化,4,66.67%,3
,,圣剑		嬉闹		逃脱按键,1,50.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	腐朽的剑	锐利之爪,264,78.81%,48
,,力量头带	猛攻哑铃	腐朽的剑,208,72.73%,22
,,力量头带	焦点镜	腐朽的剑,29,67.44%,10
,,力量头带	腐朽的剑	连打围巾,54,75.0%,8
,,猛攻哑铃	腐朽的剑	锐利之爪,28,84.85%,6
,,焦点镜	腐朽的剑	锐利之爪,62,67.39%,5
,,猛攻哑铃	腐朽的剑	连打围巾,20,90.91%,2
,,力量头带	弱点保险	腐朽的剑,8,66.67%,2
,,充能坠饰	力量头带	腐朽的剑,8,88.89%,1
,,亿奥斯饼干	力量头带	腐朽的剑,1,100.0%,1
,,学习装置	腐朽的剑	锐利之爪,0,0.0%,1
5,武道熊师,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,98,5.88%,518,77.78%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ore_Hina,69,84.15%
,,俺は脇役Cry,51,78.46%
,,わんわん日記,45,88.24%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗冥强击	深渊突刺	逃脱按键,482,77.62%,92
,,水流连打	水流裂破	万灵药,23,82.14%,8
,,暗冥强击	深渊突刺	速度强化,6,66.67%,3
,,水流连打	水流裂破	逃脱按键,5,83.33%,5
,,水流连打	水流裂破	攻击强化,1,100.0%,1
,,暗冥强击	深渊突刺	伤药	,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,361,76.32%,69
,,弱点保险	猛攻哑铃	锐利之爪,50,84.75%,9
,,力量头带	弱点保险	锐利之爪,73,82.02%,4
,,焦点镜	猛攻哑铃	锐利之爪,3,100.0%,3
,,力量头带	焦点镜	锐利之爪,20,76.92%,2
,,弱点保险	气势头带	猛攻哑铃,2,66.67%,2
,,力量头带	弱点保险	猛攻哑铃,1,33.33%,2
,,猛攻哑铃	能量增幅器	锐利之爪,2,100.0%,1
,,力量头带	能量增幅器	锐利之爪,2,66.67%,1
,,咒术手镯	气势头带	猛攻哑铃,1,100.0%,1
,,力量头带	焦点镜	猛攻哑铃,1,100.0%,1
,,气势头带	能量增幅器	锐利之爪,1,100.0%,1
,,充能坠饰	力量头带	锐利之爪,1,100.0%,1
,,学习装置	气势头带	突击背心,0,0.0%,1
6,谜拟丘,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,109,4.94%,401,71.61%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,Wachuneis,57,75.0%
,,meplusyou,28,82.35%
,,DIRE-ZORO爱,28,77.78%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗影爪	影子偷袭	万灵药,114,76.0%,35
,,嬉闹		影子偷袭	攻击强化,82,78.85%,21
,,暗影爪	戏法空间	万灵药,52,70.27%,31
,,嬉闹		影子偷袭	万灵药,49,68.06%,23
,,嬉闹		影子偷袭	逃脱按键,45,64.29%,18
,,暗影爪	影子偷袭	逃脱按键,27,72.97%,9
,,暗影爪	影子偷袭	攻击强化,15,60.0%,6
,,嬉闹		影子偷袭	速度强化,11,68.75%,7
,,暗影爪	影子偷袭	速度强化,2,100.0%,1
,,暗影爪	戏法空间	逃脱按键,2,100.0%,2
,,暗影爪	戏法空间	攻击强化,2,28.57%,5
,,暗影爪	戏法空间	速度强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	猛攻哑铃	锐利之爪,287,72.11%,65
,,弱点保险	猛攻哑铃	锐利之爪,27,62.79%,17
,,充能坠饰	猛攻哑铃	锐利之爪,41,74.55%,6
,,力量头带	弱点保险	锐利之爪,19,67.86%,6
,,气势头带	猛攻哑铃	锐利之爪,4,80.0%,3
,,力量头带	咒术手镯	锐利之爪,8,80.0%,2
,,咒术手镯	猛攻哑铃	锐利之爪,5,83.33%,2
,,力量头带	咒术手镯	猛攻哑铃,1,50.0%,2
,,充能坠饰	力量头带	锐利之爪,1,33.33%,2
,,力量头带	气势头带	锐利之爪,4,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,3,100.0%,1
,,咒术手镯	猛攻哑铃	轻石,0,0.0%,1
7,密勒顿,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,97,4.79%,430,79.19%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,ちぇんぱお,57,87.69%
,,Serika愛,47,75.81%
,,ZETA_Rom,28,77.78%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,闪电猛冲	抛物面充电	万灵药,224,79.43%,52
,,充电光束	打雷		逃脱按键,67,77.01%,39
,,闪电猛冲	抛物面充电	伤药	,50,76.92%,5
,,闪电猛冲	抛物面充电	逃脱按键,45,77.59%,17
,,闪电猛冲	抛物面充电	脱壳忍者玩偶,20,86.96%,7
,,充电光束	抛物面充电	逃脱按键,8,88.89%,7
,,充电光束	打雷		万灵药,5,83.33%,4
,,闪电猛冲	抛物面充电	速度强化,4,80.0%,1
,,充电光束	打雷		速度强化,2,100.0%,2
,,充电光束	抛物面充电	伤药	,1,100.0%,1
,,闪电猛冲	打雷		逃脱按键,1,100.0%,1
,,闪电猛冲	打雷		脱壳忍者玩偶,1,100.0%,1
,,闪电猛冲	打雷		万灵药,1,100.0%,1
,,充电光束	抛物面充电	万灵药,1,50.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,博识眼镜	穿透汤匙	进击眼镜,254,80.38%,32
,,博识眼镜	穿透汤匙	讲究眼镜,67,80.72%,18
,,穿透汤匙	讲究眼镜	进击眼镜,17,56.67%,10
,,博识眼镜	咒术熏香	穿透汤匙,8,57.14%,8
,,咒术熏香	穿透汤匙	讲究眼镜,19,95.0%,4
,,博识眼镜	讲究眼镜	进击眼镜,18,75.0%,3
,,穿透汤匙	能量增幅器	贝壳之铃,7,100.0%,3
,,穿透汤匙	讲究眼镜	贝壳之铃,8,100.0%,2
,,博识眼镜	穿透汤匙	贝壳之铃,5,83.33%,2
,,博识眼镜	咒术熏香	讲究眼镜,4,66.67%,2
,,咒术熏香	气势头带	贝壳之铃,7,87.5%,1
,,学习装置	穿透汤匙	进击眼镜,5,100.0%,1
,,博识眼镜	贝壳之铃	进击眼镜,3,75.0%,1
,,咒术熏香	穿透汤匙	进击眼镜,2,100.0%,1
,,气势头带	穿透汤匙	讲究眼镜,1,100.0%,1
,,亿奥斯饼干	穿透汤匙	进击眼镜,1,100.0%,1
,,亿奥斯饼干	博识眼镜	进击眼镜,1,100.0%,1
,,博识眼镜	讲究眼镜	贝壳之铃,1,100.0%,1
,,咒术熏香	穿透汤匙	能量增幅器,1,100.0%,1
,,博识眼镜	气势头带	穿透汤匙,1,50.0%,1
,,博识眼镜	学习装置	讲究眼镜,0,0.0%,1
,,咒术熏香	穿透汤匙	贝壳之铃,0,0.0%,1
,,博识眼镜	气势头带	进击眼镜,0,0.0%,1
8,火焰鸡,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,97,4.32%,364,74.44%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SSR鬼さん,48,81.36%
,,Døffy.,32,91.43%
,,ʚ小王牌ɞ,31,86.11%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,火焰拳	真气弹	逃脱按键,204,76.98%,82
,,过热		火焰踢	逃脱按键,112,67.88%,60
,,火焰拳	真气弹	攻击强化,26,81.25%,1
,,过热		火焰踢	攻击强化,22,81.48%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	猛攻哑铃	锐利之爪,335,74.44%,81
,,弱点保险	气势头带	猛攻哑铃,6,60.0%,6
,,亿奥斯饼干	弱点保险	猛攻哑铃,5,83.33%,3
,,力量头带	猛攻哑铃	锐利之爪,3,100.0%,2
,,亿奥斯饼干	气势头带	猛攻哑铃,7,87.5%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,3,50.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,2,100.0%,1
,,焦点镜	猛攻哑铃	锐利之爪,2,66.67%,1
,,力量头带	弱点保险	气势头带,1,100.0%,1
9,索罗亚克,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,83,4.09%,337,72.79%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,KAiシ,36,80.0%
,,純愛乂じしょ,21,80.77%
,,meplusyou,18,69.23%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,暗袭要害	居合劈	万灵药,316,72.48%,76
,,出奇一击	暗影爪	万灵药,14,77.78%,10
,,暗袭要害	暗影爪	万灵药,3,75.0%,3
,,出奇一击	居合劈	逃脱按键,2,100.0%,2
,,出奇一击	居合劈	万灵药,2,100.0%,2
,,暗袭要害	居合劈	逃脱按键,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,弱点保险	气势头带	猛攻哑铃,298,71.98%,66
,,力量头带	连打围巾	锐利之爪,6,85.71%,4
,,气势头带	猛攻哑铃	锐利之爪,7,77.78%,2
,,充能坠饰	气势头带	猛攻哑铃,2,100.0%,2
,,弱点保险	猛攻哑铃	锐利之爪,2,66.67%,2
,,充能坠饰	猛攻哑铃	锐利之爪,1,50.0%,2
,,力量头带	弱点保险	气势头带,15,78.95%,1
,,力量头带	弱点保险	连打围巾,2,100.0%,1
,,力量头带	猛攻哑铃	轻石,2,66.67%,1
,,充能坠饰	弱点保险	猛攻哑铃,1,100.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,100.0%,1
10,叶伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,79,3.73%,312,73.76%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,AXIZ_Polin,48,80.0%
,,yu1lu,31,86.11%
,,来世でも猫愛,17,65.38%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,飞叶快刀	燕返		攻击强化,258,72.68%,60
,,飞叶快刀	燕返		万灵药,20,83.33%,12
,,飞叶快刀	叶刃		逃脱按键,14,87.5%,1
,,飞叶快刀	燕返		逃脱按键,9,81.82%,7
,,飞叶快刀	燕返		速度强化,4,57.14%,2
,,日光刃	叶刃		逃脱按键,3,50.0%,3
,,日光刃	燕返		逃脱按键,2,100.0%,1
,,日光刃	叶刃		速度强化,1,100.0%,1
,,飞叶快刀	叶刃		攻击强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,猛攻哑铃	能量增幅器	锐利之爪,265,73.82%,61
,,猛攻哑铃	轻石	锐利之爪,12,66.67%,5
,,充能坠饰	猛攻哑铃	锐利之爪,6,66.67%,4
,,救援屏障	猛攻哑铃	能量增幅器,16,80.0%,2
,,充能坠饰	猛攻哑铃	轻石,2,100.0%,1
,,充能坠饰	猛攻哑铃	能量增幅器,2,66.67%,1
,,学习装置	猛攻哑铃	能量增幅器,1,100.0%,1
,,猛攻哑铃	能量增幅器	轻石,1,100.0%,1
,,能量增幅器	轻石	锐利之爪,1,100.0%,1
,,亿奥斯饼干	猛攻哑铃	能量增幅器,0,0.0%,1
11,幸福蛋,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,72,3.65%,323,78.02%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,昇華の嫁,58,82.86%
,,uy*,31,77.5%
,,ぽっぽぽー!,26,92.86%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,炸蛋		生蛋		速度强化,241,79.28%,47
,,帮助		神秘守护	速度强化,53,74.65%,26
,,炸蛋		生蛋		逃脱按键,20,68.97%,7
,,帮助		神秘守护	逃脱按键,2,100.0%,2
,,帮助		神秘守护	伤药	,2,100.0%,1
,,帮助		神秘守护	脱壳忍者玩偶,2,100.0%,1
,,帮助		生蛋		速度强化,2,66.67%,3
,,炸蛋		神秘守护	速度强化,1,100.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,学习装置	救援屏障	进击眼镜,161,80.9%,15
,,学习装置	救援屏障	气势头带,61,76.25%,12
,,学习装置	援助头巾	救援屏障,30,78.95%,10
,,学习装置	救援屏障	能量增幅器,21,72.41%,6
,,学习装置	气势头带	进击眼镜,10,76.92%,6
,,共鸣护盾	学习装置	救援屏障,5,83.33%,3
,,博识眼镜	学习装置	救援屏障,4,44.44%,3
,,学习装置	援助头巾	进击眼镜,2,66.67%,3
,,学习装置	援助头巾	气势头带,7,87.5%,2
,,吃剩的东西	学习装置	气势头带,3,100.0%,2
,,亿奥斯饼干	学习装置	救援屏障,10,76.92%,1
,,援助头巾	救援屏障	进击眼镜,3,75.0%,1
,,学习装置	救援屏障	轻石,2,100.0%,1
,,博识眼镜	学习装置	援助头巾,1,100.0%,1
,,凸凸头盔	吃剩的东西	学习装置,1,100.0%,1
,,共鸣护盾	能量增幅器	贝壳之铃,1,100.0%,1
,,学习装置	气势头带	能量增幅器,1,100.0%,1
,,博识眼镜	学习装置	进击眼镜,0,0.0%,1
,,吃剩的东西	学习装置	援助头巾,0,0.0%,1
,,学习装置	援助头巾	能量增幅器,0,0.0%,1
12,月亮伊布,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,97,3.49%,288,72.91%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,FakeGoLDeN,64,88.89%
,,Perfesto,22,78.57%
,,燐廻転生餅魂,21,80.77%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,移花接木	大声咆哮	速度强化,163,77.62%,50
,,移花接木	祈愿		速度强化,57,69.51%,34
,,黑色目光	祈愿		速度强化,25,75.76%,22
,,移花接木	大声咆哮	攻击强化,10,76.92%,1
,,黑色目光	大声咆哮	速度强化,10,55.56%,11
,,黑色目光	大声咆哮	伤药	,8,72.73%,1
,,黑色目光	祈愿		逃脱按键,6,54.55%,5
,,移花接木	大声咆哮	逃脱按键,3,75.0%,4
,,移花接木	大声咆哮	伤药	,2,40.0%,1
,,移花接木	祈愿		伤药	,1,100.0%,1
,,黑色目光	祈愿		得分区控制器,1,100.0%,1
,,黑色目光	大声咆哮	逃脱按键,1,100.0%,1
,,黑色目光	祈愿		伤药	,1,20.0%,2
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,亿奥斯饼干	学习装置	气势头带,107,75.35%,24
,,共鸣护盾	学习装置	气势头带,49,74.24%,17
,,学习装置	气势头带	猛攻哑铃,17,62.96%,10
,,学习装置	救援屏障	气势头带,8,61.54%,6
,,共鸣护盾	学习装置	救援屏障,14,93.33%,4
,,学习装置	气势头带	轻石,8,100.0%,4
,,共鸣护盾	学习装置	猛攻哑铃,6,75.0%,4
,,气势头带	猛攻哑铃	锐利之爪,6,60.0%,4
,,亿奥斯饼干	学习装置	猛攻哑铃,8,57.14%,3
,,咒术手镯	学习装置	气势头带,6,66.67%,3
,,力量头带	猛攻哑铃	锐利之爪,12,80.0%,2
,,学习装置	救援屏障	猛攻哑铃,21,80.77%,1
,,亿奥斯饼干	气势头带	猛攻哑铃,10,62.5%,1
,,吃剩的东西	学习装置	救援屏障,3,100.0%,1
,,学习装置	猛攻哑铃	轻石,2,100.0%,1
,,学习装置	气势头带	突击背心,2,66.67%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,1,100.0%,1
,,学习装置	弱点保险	气势头带,1,100.0%,1
,,亿奥斯饼干	力量头带	猛攻哑铃,1,100.0%,1
,,弱点保险	气势头带	轻石,1,100.0%,1
,,咒术手镯	学习装置	救援屏障,1,100.0%,1
,,力量头带	猛攻哑铃	连打围巾,1,50.0%,1
,,亿奥斯饼干	弱点保险	猛攻哑铃,1,50.0%,1
,,亿奥斯饼干	共鸣护盾	学习装置,1,33.33%,1
,,凸凸头盔	力量头带	突击背心,1,25.0%,1
,,学习装置	救援屏障	能量增幅器,0,0.0%,1
,,力量头带	学习装置	猛攻哑铃,0,0.0%,1
13,巨钳螳螂,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,53,3.09%,265,75.71%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,SOL_Teacher,62,87.32%
,,おでがキラだ,35,71.43%
,,p.lx2y,21,72.41%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,双翼		剑舞		万灵药,204,76.69%,36
,,双翼		二连击	万灵药,48,73.85%,16
,,子弹拳	剑舞		逃脱按键,8,72.73%,1
,,双翼		剑舞		逃脱按键,2,100.0%,1
,,子弹拳	剑舞		攻击强化,1,100.0%,1
,,子弹拳	剑舞		伤药	,1,50.0%,2
,,子弹拳	剑舞		万灵药,1,50.0%,2
,,子弹拳	二连击	攻击强化,0,0.0%,1
,持有物组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,力量头带	能量增幅器	锐利之爪,99,72.26%,22
,,力量头带	猛攻哑铃	锐利之爪,22,75.86%,7
,,猛攻哑铃	能量增幅器	锐利之爪,29,76.32%,4
,,力量头带	猛攻哑铃	能量增幅器,22,84.62%,3
,,弱点保险	能量增幅器	锐利之爪,12,60.0%,3
,,弱点保险	猛攻哑铃	锐利之爪,3,75.0%,3
,,力量头带	弱点保险	锐利之爪,65,86.67%,2
,,凸凸头盔	气势头带	锐利之爪,8,72.73%,1
,,力量头带	气势头带	能量增幅器,2,66.67%,1
,,充能坠饰	猛攻哑铃	锐利之爪,1,100.0%,1
,,弱点保险	气势头带	猛攻哑铃,1,100.0%,1
,,气势头带	猛攻哑铃	锐利之爪,1,100.0%,1
,,共鸣护盾	弱点保险	猛攻哑铃,0,0.0%,1
,,气势头带	能量增幅器	锐利之爪,0,0.0%,1
,,气势头带	焦点镜	猛攻哑铃,0,0.0%,1
,,亿奥斯饼干	猛攻哑铃	锐利之爪,0,0.0%,1
14,嘟嘟利,		-- 使用人数 --,- 使用率 -,- 胜场数 -,-  胜  率  -
,,85,3.02%,270,78.95%
,胜场数最多的三大玩家,		--- 玩家ID ---,- 胜场数 -,-  胜  率  -
,,豆腐チョコ,45,86.54%
,,高嶺の花子3,27,79.41%
,,SuñRise,19,79.17%
,技能对战道具组合,		--- 组  合 ---,- 胜场数 -,- 胜  率 -,- 使用人数 -
,,三重攻击	飞踢		万灵药,117,73.12%,60
,,啄钻		飞踢		万灵药,83,81.37%,34
